AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,20.00,8.98,5.56,0.00,0.00,15.14,3.57,11.72
25-29,0.00,13.54,10.00,0.00,25.00,20.39,12.50,17.07
30-34,14.29,19.67,4.55,0.00,25.00,25.22,23.53,22.44
35-39,33.33,26.69,9.09,0.00,100.0,27.14,18.75,26.70
40-44,0.00,25.20,0.00,0.00,0.00,36.99,30.00,31.77
45-49,0.00,36.86,14.29,0.00,0.00,45.82,30.00,41.98
50-54,33.33,41.98,0.00,0.00,0.00,49.89,25.00,45.74
55-59,16.67,51.59,0.00,0.00,50.00,50.92,0.00,50.28
60-64,50.00,57.49,0.00,0.00,0.00,57.98,57.14,57.51
65-OVER,0.00,52.01,50.00,0.00,100.0,57.23,31.82,55.70
TOTAL,18.75,33.58,8.18,0.00,23.08,42.92,21.25,38.69
