AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,20.24,25.00,0.00,0.00,21.43,0.00,20.24
25-29,0.00,20.99,50.00,0.00,0.00,24.24,16.67,22.03
30-34,0.00,30.94,0.00,0.00,0.00,51.39,0.00,36.87
35-39,50.00,35.34,0.00,0.00,0.00,50.60,66.67,41.52
40-44,25.00,54.29,0.00,0.00,0.00,53.68,0.00,51.82
45-49,100.0,53.90,0.00,0.00,0.00,51.09,0.00,52.99
50-54,0.00,50.88,50.00,0.00,0.00,66.04,50.00,56.49
55-59,0.00,56.41,0.00,0.00,0.00,71.72,100.0,61.82
60-64,0.00,60.61,0.00,0.00,0.00,73.39,0.00,65.86
65-OVER,25.00,56.21,0.00,0.00,100.0,70.25,71.43,63.30
TOTAL,35.71,45.49,25.00,0.00,50.00,59.31,33.33,50.59
