AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,53.0,47.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,427.0,309.0,0.0,175.0,82.0,1125.0
25-29,0.0,60.0,55.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,436.0,344.0,0.0,130.0,68.0,1110.0
30-34,0.0,68.0,67.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,10.0,3.0,0.0,2.0,1.0,0.0,592.0,511.0,0.0,195.0,75.0,1533.0
35-39,0.0,82.0,61.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,702.0,583.0,0.0,217.0,112.0,1778.0
40-44,0.0,78.0,69.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,5.0,1.0,0.0,881.0,792.0,0.0,257.0,146.0,2259.0
45-49,0.0,74.0,67.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,4.0,5.0,0.0,996.0,922.0,0.0,294.0,187.0,2575.0
50-54,0.0,73.0,85.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,4.0,11.0,0.0,3.0,2.0,0.0,1154.0,1141.0,0.0,307.0,164.0,2959.0
55-59,0.0,58.0,66.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,7.0,0.0,0.0,1178.0,1141.0,0.0,256.0,153.0,2879.0
60-64,0.0,62.0,58.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,3.0,1.0,0.0,1207.0,1127.0,0.0,216.0,149.0,2841.0
65-OVER,0.0,128.0,125.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,7.0,8.0,0.0,3297.0,3161.0,0.0,432.0,289.0,7494.0
TOTAL,0.0,736.0,700.0,0.0,64.0,57.0,0.0,3.0,3.0,0.0,67.0,66.0,0.0,32.0,20.0,0.0,10870.0,10031.0,0.0,2479.0,1425.0,26553.0
