AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0,22.22,0,0,0,0,0,0,0,0,6.25,25,0,0,0,0,22.83,23.08,0,20.09,12.73,18.47
25-29,0,33.33,14.29,0,0,50,0,0,0,0,0,0,0,50,0,0,30,20.95,0,26.32,13.51,22.2
30-34,0,42.86,0,0,100,0,0,0,0,0,0,0,0,0,100,0,24.42,33.33,0,43.26,23.01,32.09
35-39,0,16.67,50,0,0,0,0,0,0,0,20,0,0,0,50,0,32.53,49.38,0,39.26,32.99,37.61
40-44,0,33.33,0,0,0,0,0,0,0,0,25,0,0,0,0,0,43.48,36.9,0,46.43,25.00,37.88
45-49,100,66.67,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45,53.04,0,50,43.00,48.07
50-54,0,20,16.67,0,0,0,0,100,0,0,0,0,0,0,0,0,50,55.65,0,52.41,48.62,50.37
55-59,0,75,44.44,0,0,50,0,0,0,0,0,0,0,0,0,0,57.79,62.41,0,65.73,50.00,58.54
60-64,0,50,40,0,50,0,0,0,0,0,0,0,0,0,0,0,66.27,61.64,0,65.65,58.00,62.52
65-OVER,0,64.29,16.67,0,50,0,0,0,0,0,0,0,0,33.33,0,0,63.17,71.83,0,55.1,51.24,61.72
TOTAL,100.0,43.75,22.22,0,27.27,25.0,0,100.0,0,0,7.32,7.14,0,14.29,20.0,0,50.64,53.76,0,45.89,35.89,45.97
