AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,38.0,51.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,26.0,19.0,0.0,1.0,0.0,0.0,545.0,596.0,0.0,2.0,2.0,1292.0
25-29,1.0,34.0,36.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,2.0,0.0,485.0,497.0,0.0,4.0,2.0,1091.0
30-34,0.0,30.0,38.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,3.0,0.0,0.0,455.0,420.0,0.0,0.0,1.0,983.0
35-39,0.0,32.0,28.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,3.0,1.0,0.0,523.0,393.0,0.0,1.0,1.0,1007.0
40-44,0.0,12.0,25.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,4.0,2.0,0.0,611.0,539.0,0.0,1.0,6.0,1229.0
45-49,0.0,32.0,30.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,1.0,2.0,0.0,645.0,582.0,0.0,3.0,1.0,1320.0
50-54,0.0,32.0,31.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,8.0,0.0,2.0,0.0,0.0,755.0,736.0,0.0,0.0,3.0,1578.0
55-59,0.0,39.0,30.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,869.0,698.0,0.0,3.0,3.0,1659.0
60-64,1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,3.0,0.0,951.0,807.0,0.0,1.0,3.0,1851.0
65-OVER,0.0,77.0,74.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,11.0,14.0,0.0,3.0,3.0,1.0,2523.0,2542.0,0.0,1.0,4.0,5264.0
TOTAL,2.0,364.0,381.0,0.0,26.0,33.0,0.0,4.0,2.0,0.0,95.0,118.0,0.0,20.0,14.0,1.0,8362.0,7810.0,0.0,16.0,26.0,17274.0
