AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,2.0,104.0,79.0,0.0,9.0,6.0,0.0,0.0,2.0,1.0,103.0,50.0,0.0,5.0,2.0,2.0,637.0,586.0,0.0,76.0,39.0,1703.0
25-29,0.0,95.0,82.0,0.0,9.0,6.0,0.0,1.0,0.0,0.0,49.0,26.0,0.0,3.0,3.0,1.0,667.0,527.0,0.0,85.0,33.0,1587.0
30-34,0.0,102.0,80.0,0.0,13.0,6.0,0.0,0.0,0.0,1.0,66.0,27.0,0.0,6.0,1.0,0.0,879.0,717.0,1.0,111.0,46.0,2056.0
35-39,0.0,110.0,101.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,51.0,37.0,0.0,3.0,8.0,0.0,1070.0,853.0,0.0,143.0,58.0,2450.0
40-44,0.0,132.0,106.0,0.0,12.0,8.0,0.0,5.0,3.0,0.0,40.0,34.0,0.0,4.0,6.0,0.0,1611.0,1392.0,0.0,161.0,87.0,3601.0
45-49,0.0,100.0,123.0,0.0,9.0,17.0,0.0,0.0,1.0,0.0,55.0,66.0,0.0,16.0,5.0,0.0,1749.0,1670.0,0.0,169.0,98.0,4078.0
50-54,0.0,126.0,144.0,0.0,9.0,7.0,0.0,0.0,1.0,0.0,37.0,46.0,0.0,7.0,10.0,1.0,2129.0,1979.0,0.0,207.0,128.0,4831.0
55-59,0.0,118.0,132.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,29.0,31.0,0.0,22.0,10.0,0.0,2258.0,2032.0,0.0,193.0,127.0,4976.0
60-64,1.0,105.0,121.0,0.0,6.0,11.0,0.0,0.0,1.0,0.0,19.0,25.0,0.0,11.0,5.0,1.0,2274.0,2108.0,0.0,158.0,105.0,4951.0
65-OVER,2.0,370.0,356.0,0.0,15.0,17.0,0.0,1.0,1.0,0.0,42.0,44.0,0.0,18.0,15.0,5.0,6694.0,6142.0,0.0,309.0,174.0,14205.0
TOTAL,5.0,1362.0,1324.0,0.0,104.0,96.0,0.0,7.0,9.0,2.0,491.0,386.0,0.0,95.0,65.0,10.0,19968.0,18006.0,1.0,1612.0,895.0,44438.0
