AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,33.33,22.84,7.14,50.00,0.00,15.56,12.28,17.07
25-29,100.0,23.95,0.00,0.00,0.00,22.09,0.00,21.48
30-34,0.00,30.56,0.00,0.00,0.00,30.00,5.26,29.24
35-39,0.00,37.86,0.00,0.00,0.00,36.08,5.88,35.32
40-44,0.00,33.98,0.00,0.00,100.0,38.65,15.79,37.33
45-49,100.0,46.72,11.11,0.00,0.00,47.15,0.00,45.93
50-54,50.00,60.47,33.33,0.00,100.0,49.78,14.29,51.04
55-59,100.0,61.54,50.00,0.00,50.00,55.11,40.00,56.16
60-64,0.00,61.82,40.00,0.00,0.00,62.65,25.00,61.73
65-OVER,33.33,61.41,57.14,0.00,0.00,65.66,29.41,64.37
TOTAL,42.86,46.37,18.33,25.00,25.00,46.46,14.29,45.38
