AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,10.0,14.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,42.0,30.0,0.0,118.0,66.0,297.0
25-29,0.0,6.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,2.0,0.0,51.0,51.0,0.0,139.0,67.0,341.0
30-34,0.0,21.0,11.0,0.0,9.0,4.0,0.0,2.0,0.0,0.0,6.0,8.0,0.0,5.0,1.0,0.0,77.0,63.0,1.0,180.0,69.0,457.0
35-39,0.0,19.0,17.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,7.0,0.0,80.0,66.0,0.0,207.0,86.0,499.0
40-44,0.0,20.0,18.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,10.0,5.0,0.0,0.0,3.0,0.0,121.0,119.0,0.0,251.0,123.0,679.0
45-49,0.0,23.0,27.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,1.0,5.0,0.0,159.0,136.0,0.0,351.0,208.0,935.0
50-54,0.0,27.0,21.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,27.0,0.0,8.0,2.0,0.0,223.0,221.0,1.0,428.0,338.0,1322.0
55-59,0.0,18.0,19.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,17.0,16.0,0.0,4.0,2.0,0.0,231.0,245.0,0.0,403.0,356.0,1317.0
60-64,0.0,13.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,9.0,6.0,0.0,242.0,258.0,0.0,309.0,244.0,1122.0
65-OVER,0.0,14.0,23.0,0.0,8.0,5.0,0.0,2.0,1.0,0.0,4.0,14.0,0.0,12.0,2.0,0.0,617.0,664.0,0.0,458.0,375.0,2199.0
TOTAL,0.0,171.0,175.0,0.0,45.0,31.0,0.0,7.0,1.0,0.0,96.0,95.0,0.0,43.0,30.0,0.0,1843.0,1853.0,2.0,2844.0,1932.0,9168.0
