AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,45.0,41.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,265.0,239.0,0.0,311.0,256.0,1176.0
25-29,0.0,46.0,39.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,2.0,1.0,0.0,298.0,266.0,1.0,305.0,260.0,1230.0
30-34,0.0,34.0,39.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,292.0,269.0,0.0,278.0,174.0,1099.0
35-39,0.0,21.0,26.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,1.0,2.0,0.0,256.0,237.0,0.0,264.0,178.0,997.0
40-44,0.0,39.0,34.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,264.0,274.0,0.0,215.0,199.0,1034.0
45-49,0.0,24.0,23.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,1.0,310.0,325.0,0.0,280.0,217.0,1194.0
50-54,0.0,35.0,27.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,412.0,359.0,0.0,267.0,211.0,1323.0
55-59,1.0,25.0,23.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,387.0,364.0,0.0,283.0,220.0,1313.0
60-64,0.0,24.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,413.0,356.0,0.0,239.0,199.0,1257.0
65-OVER,1.0,43.0,42.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1257.0,1057.0,0.0,634.0,382.0,3430.0
TOTAL,3.0,336.0,316.0,0.0,28.0,16.0,0.0,5.0,0.0,0.0,23.0,25.0,0.0,11.0,16.0,1.0,4154.0,3746.0,1.0,3076.0,2296.0,14053.0
