AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,39.0,46.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,2.0,2.0,0.0,271.0,249.0,0.0,50.0,53.0,740.0
25-29,0.0,26.0,25.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,265.0,247.0,0.0,56.0,51.0,685.0
30-34,0.0,26.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,279.0,199.0,0.0,71.0,44.0,660.0
35-39,0.0,29.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,262.0,229.0,0.0,60.0,44.0,652.0
40-44,0.0,19.0,34.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,349.0,281.0,0.0,69.0,39.0,805.0
45-49,0.0,14.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,341.0,284.0,0.0,64.0,56.0,784.0
50-54,0.0,20.0,23.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,377.0,341.0,0.0,73.0,67.0,914.0
55-59,0.0,19.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,360.0,338.0,0.0,79.0,49.0,870.0
60-64,0.0,12.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,303.0,292.0,0.0,49.0,52.0,731.0
65-OVER,0.0,17.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,824.0,773.0,0.0,166.0,105.0,1918.0
TOTAL,1.0,221.0,255.0,0.0,25.0,14.0,0.0,1.0,2.0,0.0,28.0,31.0,0.0,12.0,8.0,0.0,3631.0,3233.0,0.0,737.0,560.0,8759.0
