AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.46,39.36,0,25,16.00,30.04
25-29,0,25,0,0,100,0,0,0,0,0,33.33,0,0,0,0,0,28.17,32.79,0,24.32,5.56,27.04
30-34,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.76,37.5,0,34.78,0,35.45
35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.47,50.7,0,41.38,20.00,46.85
40-44,0,0,0,0,0,0,0,0,0,0,100,0,0,60,33.33,0,50.85,48.96,0,47.62,50.00,48.52
45-49,0,100,0,0,0,50,0,0,0,0,0,0,0,0,0,0,52.31,49.53,0,57.69,39.13,50.52
50-54,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.73,51.06,0,70.73,63.16,57.47
55-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,63.77,0,54.17,50.00,56.34
60-64,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,66.2,61.29,0,62.96,60.87,63.24
65-OVER,0,50,0,0,0,0,0,0,0,0,0,0,0,50,100,0,63.59,78.09,0,56.98,50.00,65.74
TOTAL,0,40.0,6.67,0,33.33,11.11,0,0,0,0,16.67,0.0,0,44.44,40.0,0,51.45,54.24,0.0,49.42,39.65,50.25
