AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,23.53,0.00,0.00,0.00,28.00,25.00,24.00
25-29,0.00,32.76,0.00,0.00,0.00,18.52,0.00,25.53
30-34,0.00,33.93,0.00,0.00,0.00,50.00,0.00,36.90
35-39,0.00,30.91,0.00,0.00,100.0,32.14,0.00,32.14
40-44,0.00,33.33,0.00,0.00,0.00,42.86,33.33,35.80
45-49,0.00,44.83,0.00,0.00,0.00,61.54,100.0,51.52
50-54,0.00,39.51,0.00,0.00,0.00,55.56,33.33,44.17
55-59,0.00,40.00,0.00,0.00,0.00,55.88,0.00,44.14
60-64,100.0,57.33,0.00,0.00,0.00,74.51,50.00,64.12
65-OVER,0.00,56.83,0.00,0.00,100.0,61.20,66.67,59.25
TOTAL,100.0,42.54,0.00,0.00,28.57,54.32,32.26,46.44
