AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,15.0,20.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,105.0,92.0,0.0,165.0,174.0,581.0
25-29,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,121.0,117.0,0.0,124.0,131.0,525.0
30-34,0.0,12.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,101.0,92.0,0.0,118.0,101.0,446.0
35-39,0.0,11.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,98.0,84.0,0.0,92.0,86.0,390.0
40-44,1.0,8.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,108.0,108.0,0.0,99.0,92.0,432.0
45-49,0.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,122.0,147.0,0.0,128.0,98.0,525.0
50-54,0.0,11.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,178.0,162.0,0.0,142.0,129.0,645.0
55-59,0.0,15.0,16.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,184.0,159.0,0.0,147.0,145.0,677.0
60-64,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,152.0,164.0,0.0,125.0,109.0,565.0
65-OVER,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,461.0,406.0,0.0,302.0,201.0,1399.0
TOTAL,2.0,120.0,139.0,0.0,15.0,4.0,0.0,1.0,1.0,0.0,13.0,7.0,0.0,8.0,5.0,1.0,1630.0,1531.0,0.0,1442.0,1266.0,6185.0
