AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,26.0,39.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,3.0,2.0,0.0,119.0,125.0,0.0,56.0,62.0,484.0
25-29,0.0,23.0,15.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,15.0,25.0,0.0,5.0,4.0,0.0,137.0,137.0,0.0,69.0,50.0,487.0
30-34,0.0,14.0,18.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,15.0,11.0,0.0,6.0,5.0,0.0,142.0,106.0,0.0,73.0,47.0,447.0
35-39,0.0,12.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,2.0,0.0,132.0,114.0,0.0,66.0,39.0,399.0
40-44,0.0,15.0,3.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,8.0,10.0,0.0,2.0,3.0,0.0,126.0,97.0,0.0,73.0,56.0,403.0
45-49,0.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,1.0,3.0,0.0,100.0,75.0,0.0,52.0,37.0,298.0
50-54,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,79.0,77.0,0.0,47.0,29.0,245.0
55-59,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,81.0,62.0,0.0,36.0,35.0,224.0
60-64,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,54.0,39.0,0.0,25.0,21.0,145.0
65-OVER,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,121.0,120.0,0.0,63.0,40.0,361.0
TOTAL,0.0,106.0,97.0,0.0,31.0,35.0,0.0,2.0,0.0,0.0,78.0,81.0,0.0,22.0,22.0,0.0,1091.0,952.0,0.0,560.0,416.0,3493.0
