AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,6.67,0.00,0.00,0.00,8.96,4.44,7.52
25-29,0.00,6.38,0.00,0.00,0.00,7.27,10.71,7.14
30-34,0.00,9.73,0.00,0.00,0.00,6.45,0.00,7.40
35-39,0.00,11.36,0.00,0.00,0.00,17.82,12.50,15.19
40-44,0.00,17.00,0.00,0.00,0.00,23.83,9.52,20.59
45-49,0.00,16.30,0.00,0.00,100.0,17.53,20.00,17.50
50-54,100.0,16.67,0.00,0.00,0.00,22.09,23.53,20.61
55-59,0.00,18.58,0.00,0.00,0.00,25.10,0.00,22.25
60-64,0.00,21.11,0.00,0.00,0.00,33.08,52.94,30.91
65-OVER,0.00,29.73,0.00,0.00,0.00,37.40,50.00,36.12
TOTAL,11.11,15.25,0.00,0.00,12.50,23.12,17.96,20.47
