AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,2.94,6.45,0.0,0.0,6.25,0.0,100.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,9.97,8.36,0.0,12.01,10.18,9.2
25-29,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,5.56,0.0,0.0,0.0,0.0,6.5,9.27,0.0,12.59,5.59,8.18
30-34,0.0,12.5,21.43,0.0,14.29,0.0,0.0,0.0,0.0,0.0,4.55,4.17,0.0,0.0,0.0,0.0,12.44,10.57,0.0,13.48,6.28,11.21
35-39,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,12.48,17.49,0.0,19.08,9.33,14.41
40-44,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,14.29,40.0,0.0,15.65,18.78,0.0,21.54,16.88,17.28
45-49,0.0,14.29,0.0,0.0,33.33,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,16.67,0.0,17.2,18.5,0.0,30.09,18.88,19.55
50-54,0.0,75.0,22.22,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,16.67,0.0,0.0,21.56,25.04,0.0,32.81,21.8,24.26
55-59,0.0,9.09,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,25.86,24.78,0.0,29.34,25.55,25.49
60-64,0.0,42.86,12.5,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.77,35.9,0.0,46.75,36.73,34.55
65-OVER,0.0,7.69,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,0.0,50.0,28.57,0.0,30.51,37.5,0.0,40.6,36.2,34.38
TOTAL,0.0,10.85,10.56,0.0,6.0,5.88,0.0,22.22,0.0,0.0,2.33,2.98,0.0,9.09,14.29,0.0,19.94,22.72,0.0,25.0,18.64,20.9
