AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,5.95,5.93,0.0,2.16,1.53,3.87
25-29,0.0,12.77,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,9.78,0.0,2.1,1.57,5.83
30-34,0.0,10.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.82,16.02,0.0,4.09,2.25,9.95
35-39,0.0,6.45,12.2,0.0,11.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,14.65,18.05,0.0,3.68,4.73,12.27
40-44,0.0,9.3,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,19.57,21.3,0.0,10.79,3.16,16.13
45-49,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48,21.9,0.0,9.82,8.87,16.89
50-54,0.0,14.81,13.16,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.24,28.51,0.0,16.67,11.0,22.08
55-59,0.0,10.34,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,9.09,0.0,0.0,20.0,0.0,0.0,30.54,35.02,0.0,18.04,13.43,27.17
60-64,0.0,14.81,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,37.7,0.0,25.22,20.0,32.3
65-OVER,0.0,10.0,16.98,0.0,37.5,22.22,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,20.0,0.0,33.94,41.57,0.0,26.64,22.83,34.72
TOTAL,0.0,8.65,6.89,0.0,9.23,9.09,0.0,0.0,0.0,0.0,0.37,1.57,0.0,5.26,2.56,0.0,23.51,27.06,0.0,11.56,8.98,20.23
