AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.07,0.00,0.00,0.00,4.53,3.14,3.50
25-29,0.00,1.17,0.00,0.00,4.00,4.27,1.56,3.43
30-34,3.03,2.00,0.71,0.00,0.00,7.88,2.78,6.37
35-39,5.56,2.81,1.28,0.00,0.00,10.88,1.44,8.90
40-44,3.12,4.69,1.47,0.00,0.00,12.68,1.15,10.80
45-49,8.11,7.23,1.25,0.00,0.00,14.63,4.51,12.95
50-54,4.76,8.89,5.13,0.00,0.00,16.29,7.38,14.77
55-59,2.63,14.29,2.63,0.00,0.00,22.21,14.41,20.58
60-64,4.35,16.54,2.63,0.00,0.00,28.07,12.50,25.96
65-OVER,6.82,24.88,3.92,0.00,10.00,33.31,15.03,32.03
TOTAL,3.66,8.91,1.30,0.00,1.16,18.83,5.05,16.48
