AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.90,0.00,0.00,0.00,3.35,0.00,2.35
25-29,0.00,1.38,0.00,0.00,0.00,4.34,0.00,2.52
30-34,0.00,3.59,6.67,0.00,0.00,3.79,3.33,3.70
35-39,0.00,6.14,0.00,0.00,0.00,4.63,0.00,5.20
40-44,0.00,8.09,0.00,0.00,0.00,5.68,6.90,6.76
45-49,0.00,11.48,0.00,0.00,0.00,9.80,4.17,10.29
50-54,0.00,13.04,0.00,0.00,0.00,11.46,7.41,11.97
55-59,0.00,17.78,0.00,0.00,0.00,16.10,9.68,16.53
60-64,33.33,25.33,0.00,0.00,0.00,21.27,12.50,22.80
65-OVER,0.00,23.27,0.00,0.00,0.00,24.91,18.60,24.16
TOTAL,2.44,11.46,1.12,0.00,0.00,13.61,6.25,12.31
