AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,5.66,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,6.72,9.26,0.0,6.82,5.41,7.4
25-29,50.0,6.1,6.02,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,5.51,0.0,2.38,0.0,5.22
30-34,0.0,7.69,5.56,0.0,20.0,0.0,0.0,0.0,0.0,0.0,16.67,7.14,0.0,0.0,0.0,0.0,8.37,12.62,0.0,7.5,7.69,9.7
35-39,0.0,8.16,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,14.29,0.0,9.98,13.47,0.0,10.42,2.78,10.78
40-44,0.0,9.82,10.91,0.0,11.11,0.0,0.0,0.0,0.0,0.0,16.67,18.75,0.0,0.0,0.0,0.0,11.91,16.02,0.0,5.45,0.0,12.97
45-49,0.0,5.83,11.63,0.0,0.0,25.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,5.0,0.0,0.0,16.17,20.72,0.0,4.92,6.38,16.69
50-54,0.0,16.67,7.25,0.0,20.0,0.0,0.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0,3.12,0.0,21.79,24.93,0.0,14.04,12.24,21.55
55-59,0.0,5.0,17.78,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,5.88,6.25,0.0,25.53,30.98,0.0,20.31,13.64,26.43
60-64,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,16.67,0.0,6.67,25.0,0.0,34.92,39.15,0.0,20.0,23.26,34.92
65-OVER,0.0,20.24,30.77,0.0,16.67,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.7,0.0,40.14,50.75,0.0,19.48,15.87,43.01
TOTAL,9.09,9.91,10.66,0.0,8.7,4.76,0.0,0.0,0.0,0.0,8.46,5.34,0.0,3.31,5.19,0.0,20.55,25.41,0.0,12.04,9.74,20.95
