AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.15,0.00,0.00,0.00,1.69,0.00,2.62
25-29,0.00,6.42,0.00,0.00,0.00,4.27,0.00,5.38
30-34,0.00,7.51,0.00,0.00,0.00,6.19,0.00,6.85
35-39,0.00,18.67,0.00,0.00,0.00,15.22,25.00,17.42
40-44,0.00,13.07,0.00,0.00,0.00,9.38,0.00,11.19
45-49,0.00,18.89,0.00,0.00,0.00,14.29,14.29,16.94
50-54,0.00,19.69,0.00,0.00,0.00,9.66,28.57,16.18
55-59,0.00,26.77,0.00,0.00,0.00,12.28,25.00,20.93
60-64,0.00,42.50,0.00,0.00,100.0,28.57,20.00,35.96
65-OVER,0.00,38.29,0.00,0.00,0.00,29.05,20.00,32.77
TOTAL,0.00,21.52,0.00,0.00,12.50,17.90,11.43,19.76
