AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,27.0,31.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,34.0,33.0,0.0,2.0,2.0,3.0,366.0,312.0,1.0,136.0,111.0,1070.0
25-29,0.0,25.0,23.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,1.0,3.0,0.0,309.0,256.0,0.0,134.0,78.0,871.0
30-34,0.0,19.0,23.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,19.0,9.0,0.0,2.0,2.0,0.0,294.0,245.0,0.0,110.0,62.0,792.0
35-39,0.0,16.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,9.0,0.0,2.0,0.0,0.0,298.0,235.0,0.0,105.0,61.0,763.0
40-44,0.0,16.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,1.0,3.0,0.0,343.0,289.0,0.0,99.0,57.0,842.0
45-49,0.0,8.0,20.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,335.0,289.0,0.0,115.0,74.0,868.0
50-54,1.0,9.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,14.0,0.0,2.0,0.0,0.0,377.0,344.0,0.0,131.0,94.0,1006.0
55-59,0.0,16.0,11.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,374.0,330.0,0.0,118.0,102.0,964.0
60-64,0.0,3.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,323.0,284.0,0.0,89.0,80.0,801.0
65-OVER,0.0,11.0,21.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,10.0,7.0,0.0,6.0,3.0,1.0,1039.0,842.0,0.0,234.0,188.0,2366.0
TOTAL,1.0,150.0,193.0,0.0,25.0,26.0,0.0,3.0,1.0,0.0,132.0,111.0,0.0,19.0,14.0,5.0,4058.0,3426.0,1.0,1271.0,907.0,10343.0
