AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,3.52,2.94,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,3.35,4.27,0.0,1.56,0.0,3.64
25-29,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,2.86,4.07,0.0,0.0,0.0,3.11
30-34,0.0,3.74,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,4.52,5.92,0.0,1.75,0.0,4.98
35-39,0.0,7.08,3.41,0.0,0.0,14.29,0.0,0.0,0.0,0.0,8.33,20.0,0.0,0.0,0.0,0.0,7.08,7.18,0.0,7.58,0.0,6.91
40-44,0.0,4.76,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,10.99,0.0,4.76,1.72,9.21
45-49,0.0,5.88,13.48,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,11.28,0.0,1.49,2.17,10.34
50-54,0.0,7.69,18.75,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.43,16.63,0.0,3.08,6.25,14.38
55-59,0.0,12.62,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,20.0,0.0,0.0,18.48,20.53,0.0,2.82,3.28,18.37
60-64,0.0,13.98,16.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,25.0,0.0,0.0,20.74,23.84,0.0,13.85,13.33,21.36
65-OVER,0.0,21.33,21.15,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.5,0.0,14.29,33.33,0.0,23.8,29.49,0.0,10.2,7.55,25.54
TOTAL,0.0,8.8,10.24,0.0,4.35,3.7,0.0,0.0,50.0,0.0,2.53,7.94,0.0,9.09,10.0,0.0,13.51,16.06,0.0,5.32,3.85,13.9
