COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BACON,0.0,7.87,11.11,0.0,0.0,0.0,0.0,0.0,50.0,0.0,4.0,0.0,0.0,11.11,0.0,0.0,21.23,24.56,0.0,3.43,2.22,19.06
BRANTLEY,0.0,0.68,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,9.43,11.09,0.0,5.23,3.6,9.7
BRYAN,16.67,5.34,4.87,0.0,1.72,2.82,0.0,0.0,0.0,0.0,2.58,3.19,0.0,1.72,3.16,0.0,12.66,15.14,0.0,3.49,2.99,11.28
CAMDEN,0.0,3.78,6.01,0.0,3.18,2.65,0.0,9.09,0.0,0.0,0.96,3.24,0.0,4.38,10.34,0.0,10.53,14.54,0.0,4.05,3.73,9.38
CHARLTON,0.0,4.66,4.1,0.0,5.56,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.67,0.0,12.05,14.77,0.0,4.51,4.82,10.54
CHATHAM,3.23,4.28,5.23,0.0,3.67,4.99,0.0,7.41,1.96,0.0,2.16,2.58,0.0,5.51,5.81,0.0,19.86,21.97,0.0,10.36,8.1,15.11
CLINCH,0.0,8.64,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,8.68,9.72,0.0,2.55,2.87,7.16
ECHOLS,0.0,0.0,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92,14.73,0.0,1.75,0.0,11.51
EFFINGHAM,0.0,3.99,3.51,0.0,6.12,6.9,0.0,25.0,33.33,0.0,1.96,3.54,0.0,4.05,2.78,0.0,12.67,14.61,0.0,2.76,2.42,11.66
GLYNN,4.55,7.38,8.53,0.0,3.77,7.64,0.0,0.0,28.57,0.0,2.56,4.51,0.0,8.12,2.44,0.0,17.13,21.36,0.0,5.1,4.3,14.68
LIBERTY,0.0,1.74,1.47,0.0,1.34,0.49,0.0,7.69,0.0,0.0,0.7,2.34,0.0,2.42,2.33,0.0,9.72,12.94,0.0,4.68,5.25,6.67
LONG,0.0,3.21,2.41,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.65,0.99,0.0,4.35,0.0,0.0,7.58,12.41,0.0,4.32,2.9,7.3
LOWNDES,0.0,0.0,1.45,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,15.0,0.0,0.0,8.9,12.99,0.0,5.83,4.44,8.15
MCINTOSH,0.0,9.87,10.38,0.0,0.0,8.33,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.08,11.76,0.0,18.98,20.86,0.0,9.73,7.02,15.83
PIERCE,0.0,3.6,4.34,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.33,19.14,0.0,3.4,3.98,14.39
WARE,0.0,1.88,2.49,0.0,0.0,11.54,0.0,0.0,0.0,0.0,3.39,1.96,0.0,6.38,7.89,0.0,14.92,18.63,0.0,4.59,4.55,12.69
TOTAL,3.92,4.58,5.31,0.0,3.01,4.2,0.0,7.38,6.84,0.0,1.69,2.67,0.0,5.2,5.17,0.0,15.94,18.9,0.0,7.87,6.51,13.19
