AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.94,0.46,0.00,0.00,0.00,3.01,2.03,2.27
25-29,0.00,1.02,0.00,0.00,0.00,2.81,0.53,2.20
30-34,0.00,0.70,0.00,0.00,0.00,2.41,1.17,1.94
35-39,0.00,0.00,1.92,0.00,0.00,4.47,0.95,3.45
40-44,0.00,2.13,0.00,0.00,6.67,6.91,1.51,5.53
45-49,0.00,3.25,4.88,0.00,6.67,9.21,5.56,7.77
50-54,0.00,3.69,7.32,0.00,7.14,16.12,6.80,13.48
55-59,6.67,4.18,15.38,0.00,0.00,21.34,9.43,18.28
60-64,14.29,9.47,9.52,0.00,0.00,26.88,16.22,24.12
65-OVER,5.88,10.00,0.00,0.00,11.11,32.91,23.26,29.49
TOTAL,2.37,3.27,2.85,0.00,2.14,13.81,5.14,11.28
