AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,34.0,2190.0,2512.0,5.0,626.0,456.0,0.0,23.0,28.0,8.0,1356.0,1230.0,2.0,580.0,522.0,46.0,11447.0,11063.0,19.0,7190.0,6138.0,45475.0
25-29,18.0,1349.0,1414.0,5.0,538.0,344.0,0.0,28.0,20.0,1.0,1008.0,805.0,0.0,514.0,474.0,13.0,11733.0,11004.0,11.0,7611.0,5494.0,42384.0
30-34,19.0,1267.0,1208.0,5.0,501.0,346.0,0.0,24.0,19.0,0.0,951.0,610.0,0.0,531.0,437.0,15.0,11521.0,10473.0,12.0,8321.0,5359.0,41619.0
35-39,13.0,1148.0,1046.0,0.0,471.0,311.0,0.0,35.0,18.0,0.0,952.0,671.0,3.0,664.0,402.0,4.0,11596.0,10544.0,7.0,8153.0,5183.0,41221.0
40-44,21.0,1000.0,1114.0,1.0,398.0,306.0,0.0,29.0,27.0,3.0,927.0,737.0,0.0,809.0,671.0,10.0,13296.0,12322.0,5.0,8621.0,5970.0,46267.0
45-49,12.0,847.0,888.0,2.0,345.0,341.0,0.0,30.0,30.0,4.0,776.0,734.0,2.0,628.0,605.0,10.0,13910.0,12849.0,5.0,7871.0,5603.0,45492.0
50-54,7.0,685.0,769.0,1.0,340.0,292.0,0.0,20.0,18.0,1.0,670.0,599.0,0.0,567.0,527.0,12.0,15833.0,14304.0,5.0,6906.0,5061.0,46617.0
55-59,12.0,570.0,615.0,1.0,281.0,294.0,0.0,20.0,15.0,0.0,439.0,403.0,1.0,429.0,426.0,9.0,15225.0,13777.0,4.0,5019.0,3672.0,41212.0
60-64,8.0,406.0,384.0,0.0,234.0,190.0,0.0,16.0,14.0,2.0,323.0,274.0,3.0,365.0,327.0,10.0,13533.0,11725.0,6.0,3321.0,2259.0,33400.0
65-OVER,21.0,913.0,704.0,1.0,393.0,335.0,0.0,16.0,10.0,0.0,523.0,372.0,2.0,499.0,584.0,10.0,30458.0,25639.0,4.0,4609.0,2761.0,67854.0
TOTAL,165.0,10375.0,10654.0,21.0,4127.0,3215.0,0.0,241.0,199.0,19.0,7925.0,6435.0,13.0,5586.0,4975.0,139.0,148552.0,133700.0,78.0,67622.0,47500.0,451541.0
