AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.11,0.00,0.00,0.00,1.81,0.00,1.53
25-29,0.00,0.60,0.00,0.00,0.00,1.05,20.00,1.00
30-34,0.00,1.39,0.00,0.00,0.00,2.15,9.09,1.98
35-39,0.00,2.39,0.00,0.00,0.00,3.10,0.00,2.85
40-44,0.00,2.72,20.00,100.0,14.29,5.62,7.14,5.02
45-49,16.67,2.46,0.00,0.00,0.00,6.23,0.00,5.23
50-54,0.00,4.09,0.00,33.33,0.00,9.73,0.00,8.08
55-59,0.00,6.51,0.00,0.00,0.00,12.71,0.00,10.85
60-64,0.00,8.82,0.00,0.00,0.00,20.56,0.00,17.23
65-OVER,0.00,18.50,0.00,0.00,0.00,30.50,0.00,27.40
TOTAL,1.39,6.15,1.39,15.38,4.17,12.02,2.42,10.33
