AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.86,0.43,0.00,0.89,1.62,1.34,1.10
25-29,1.59,0.51,0.42,0.00,0.00,0.95,0.00,0.60
30-34,0.00,0.91,0.43,0.00,0.00,1.39,0.60,0.98
35-39,2.08,1.35,0.58,0.00,0.00,2.72,0.70,1.69
40-44,0.00,2.18,0.65,20.00,0.00,4.70,3.41,3.05
45-49,0.00,3.87,0.76,0.00,0.00,7.86,0.98,4.72
50-54,0.00,6.53,4.96,0.00,3.70,11.88,1.59,7.95
55-59,5.71,8.57,3.70,33.33,4.00,15.17,3.15,10.52
60-64,4.88,15.28,1.47,0.00,0.00,23.14,8.70,17.71
65-OVER,10.00,15.98,6.17,0.00,6.90,28.99,4.76,22.55
TOTAL,2.39,4.92,1.43,5.56,1.00,11.16,1.60,6.67
