AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,1.52,0.68,0.0,0.0,1.59,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,3.12,0.0,2.37,2.74,0.0,0.43,0.64,1.41
25-29,0.0,0.41,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,1.73,2.54,0.0,0.36,0.27,1.23
30-34,0.0,0.0,1.47,0.0,1.64,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,3.47,0.0,0.73,0.39,2.2
35-39,0.0,0.0,0.0,0.0,2.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,5.2,7.05,0.0,0.76,0.3,3.65
40-44,0.0,0.0,5.1,0.0,3.23,10.0,0.0,0.0,0.0,0.0,3.7,4.55,0.0,4.55,7.69,0.0,8.41,10.14,0.0,1.52,1.38,6.22
45-49,0.0,1.06,4.8,0.0,3.7,12.5,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,11.11,0.0,9.21,12.24,0.0,1.97,1.42,7.25
50-54,0.0,2.08,4.76,0.0,7.69,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,11.2,13.49,0.0,4.79,4.17,9.13
55-59,0.0,6.06,6.78,0.0,0.0,8.7,0.0,33.33,0.0,0.0,0.0,11.11,0.0,10.53,0.0,0.0,16.64,20.73,0.0,5.82,6.64,13.83
60-64,0.0,3.85,4.41,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,8.7,11.11,0.0,21.58,25.79,0.0,7.62,7.13,17.32
65-OVER,0.0,6.09,15.96,0.0,7.41,5.56,0.0,0.0,0.0,0.0,0.0,6.06,0.0,20.0,12.9,0.0,26.3,34.41,0.0,7.84,8.9,23.84
TOTAL,0.0,1.65,3.26,0.0,2.26,5.02,0.0,4.35,4.35,0.0,0.74,1.86,0.0,4.81,5.8,0.0,12.32,15.55,0.0,2.83,2.95,9.2
