AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,2.91,0.0,0.0,0.0,1.95
25-29,0.0,0.0,3.85,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1.57,1.88,0.0,0.0,0.0,1.67
30-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.77,5.45,0.0,0.0,0.0,3.24
35-39,0.0,3.85,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,6.14,0.0,4.55,2.44,4.57
40-44,0.0,2.7,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,7.38,7.65,0.0,0.0,0.0,6.63
45-49,0.0,0.0,9.3,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68,10.43,0.0,1.37,0.0,8.02
50-54,0.0,6.98,11.43,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,14.95,0.0,1.47,0.0,12.16
55-59,0.0,4.55,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,14.65,19.94,0.0,3.08,3.77,15.37
60-64,0.0,3.85,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,19.2,27.93,0.0,5.97,4.35,21.27
65-OVER,0.0,19.44,22.95,0.0,50.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,24.36,32.0,0.0,8.15,9.35,26.3
TOTAL,0.0,3.28,6.67,0.0,6.67,12.12,0.0,0.0,0.0,0.0,3.08,1.96,0.0,7.84,0.0,0.0,11.63,15.93,0.0,2.95,2.55,12.11
