AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,2.08,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,3.43,0.0,1.31,1.17,2.1
25-29,0.0,0.0,1.96,0.0,3.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,2.43,2.92,0.0,1.97,0.98,2.09
30-34,0.0,0.73,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,3.81,4.22,0.0,1.89,1.5,2.78
35-39,0.0,0.85,2.68,0.0,4.35,8.33,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.01,8.03,0.0,3.06,1.62,4.66
40-44,0.0,0.85,1.41,0.0,0.0,12.5,0.0,0.0,0.0,0.0,3.45,2.5,0.0,4.17,0.0,0.0,9.52,10.24,0.0,4.77,2.32,6.36
45-49,0.0,2.61,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,8.82,0.0,0.0,0.0,0.0,14.05,13.79,0.0,4.44,2.85,8.46
50-54,0.0,1.04,4.07,0.0,5.26,30.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,12.54,18.32,0.0,5.42,4.87,10.4
55-59,0.0,3.45,4.59,0.0,0.0,0.0,0.0,25.0,100.0,0.0,2.86,4.55,0.0,20.0,0.0,0.0,17.61,21.49,0.0,9.05,8.04,14.46
60-64,0.0,7.41,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,14.29,0.0,26.05,28.31,0.0,13.76,9.7,20.53
65-OVER,0.0,8.42,13.74,0.0,0.0,11.76,0.0,0.0,0.0,0.0,6.67,4.0,0.0,20.0,0.0,0.0,32.83,41.15,0.0,16.12,16.84,30.02
TOTAL,0.0,2.68,3.79,0.0,1.41,6.25,0.0,5.56,9.52,0.0,1.58,3.42,0.0,3.92,3.08,0.0,15.7,18.58,0.0,5.77,4.48,11.07
