AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,318.0,31775.,34741.,21.00,6286.,4741.,3.00,309.0,271.0,27.00,11886.,10109.,14.00,4981.,4828.,207.0,141364.,131883.,120.0,123278.,99665.,606827.
25-29,174.0,26300.,25317.,13.00,4860.,3402.,0.00,208.0,146.0,18.00,8820.,6709.,14.00,4947.,4368.,84.00,148597.,131860.,81.00,113407.,83366.,562691.
30-34,144.0,25187.,23922.,13.00,4528.,3091.,0.00,210.0,140.0,10.00,8009.,5639.,11.00,5040.,3980.,82.00,144774.,123901.,74.00,109415.,72316.,530486.
35-39,110.0,22061.,20792.,8.00,3843.,2703.,0.00,200.0,125.0,16.00,7319.,5423.,12.00,5172.,3669.,42.00,140027.,121340.,71.00,104516.,68555.,506004.
40-44,152.0,21291.,21923.,10.00,3438.,2817.,0.00,206.0,154.0,13.00,6798.,5712.,16.00,6040.,5184.,49.00,160708.,144791.,61.00,107166.,75193.,561722.
45-49,147.0,18740.,19668.,10.00,3004.,2784.,0.00,170.0,137.0,18.00,6020.,6052.,10.00,4887.,4766.,75.00,164210.,152460.,60.00,101343.,74986.,559547.
50-54,153.0,17243.,17986.,5.00,2865.,2530.,2.00,159.0,134.0,18.00,4844.,4907.,9.00,4243.,4296.,76.00,179688.,166043.,63.00,99891.,74793.,579948.
55-59,112.0,13911.,14092.,12.00,2314.,2278.,0.00,148.0,123.0,5.00,3536.,3484.,7.00,3716.,3393.,48.00,172617.,155708.,49.00,86320.,64197.,526070.
60-64,95.00,10852.,10405.,7.00,1809.,1565.,0.00,109.0,104.0,12.00,2386.,2369.,15.00,3093.,2764.,42.00,156133.,138115.,38.00,70095.,50315.,450323.
65-OVER,198.0,23786.,20648.,5.00,2906.,2578.,2.00,140.0,175.0,5.00,4056.,3507.,26.00,5090.,5627.,92.00,411071.,344743.,45.00,129976.,81703.,1036379.
TOTAL,1603.,211146.,209494.,104.0,35853.,28489.,7.00,1859.,1509.,142.0,63674.,53911.,134.0,47209.,42875.,797.0,1819189.,1610844.,662.0,1045407.,745089.,5919997.
