COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
ATKINSON,2632.0,0.0,15.0,12.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,57.0,35.0,0.0,0.0,1.0,0.0,1078.0,916.0,0.0,310.0,200.0
BEN HILL,6028.0,1.0,52.0,36.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,34.0,18.0,0.0,13.0,8.0,1.0,2159.0,1876.0,0.0,1235.0,578.0
BERRIEN,6670.0,0.0,96.0,95.0,0.0,6.0,9.0,0.0,2.0,3.0,0.0,30.0,15.0,0.0,9.0,9.0,3.0,3041.0,2786.0,0.0,348.0,218.0
BIBB,21925.0,12.0,401.0,325.0,0.0,90.0,68.0,0.0,8.0,7.0,1.0,101.0,61.0,2.0,147.0,163.0,2.0,8657.0,6853.0,1.0,3350.0,1676.0
BLECKLEY,5036.0,1.0,66.0,54.0,0.0,10.0,6.0,0.0,2.0,1.0,0.0,12.0,6.0,0.0,11.0,10.0,2.0,2110.0,1936.0,0.0,556.0,253.0
BROOKS,6375.0,0.0,149.0,143.0,0.0,13.0,14.0,0.0,1.0,3.0,0.0,32.0,19.0,0.0,7.0,4.0,1.0,2075.0,1844.0,0.0,1330.0,740.0
COLQUITT,13690.0,9.0,249.0,195.0,0.0,40.0,22.0,0.0,4.0,1.0,0.0,163.0,114.0,0.0,17.0,19.0,3.0,5661.0,4821.0,1.0,1568.0,803.0
COOK,6132.0,0.0,55.0,73.0,0.0,13.0,8.0,0.0,2.0,1.0,0.0,28.0,12.0,0.0,8.0,9.0,1.0,2417.0,2093.0,0.0,914.0,498.0
DODGE,7065.0,0.0,71.0,57.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,13.0,11.0,0.0,12.0,4.0,3.0,2814.0,2562.0,0.0,1005.0,505.0
HOUSTON,60753.0,31.0,1416.0,1379.0,4.0,280.0,194.0,2.0,31.0,20.0,1.0,591.0,401.0,0.0,516.0,351.0,20.0,20512.0,18445.0,23.0,10583.0,5953.0
IRWIN,3704.0,2.0,24.0,17.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,5.0,3.0,2.0,1535.0,1372.0,0.0,480.0,240.0
JONES,12686.0,2.0,63.0,43.0,1.0,11.0,12.0,0.0,6.0,4.0,0.0,30.0,16.0,1.0,33.0,12.0,5.0,4973.0,4380.0,0.0,1901.0,1193.0
LANIER,2911.0,1.0,96.0,78.0,0.0,8.0,4.0,0.0,3.0,0.0,0.0,13.0,9.0,0.0,9.0,5.0,0.0,1131.0,975.0,0.0,368.0,211.0
LOWNDES,36703.0,7.0,699.0,610.0,0.0,210.0,125.0,0.0,15.0,13.0,0.0,259.0,182.0,0.0,168.0,118.0,8.0,12595.0,10811.0,4.0,7202.0,3677.0
MONROE,12845.0,12.0,295.0,290.0,0.0,25.0,34.0,0.0,1.0,2.0,0.0,31.0,22.0,0.0,28.0,18.0,3.0,5094.0,4600.0,1.0,1505.0,884.0
PULASKI,3626.0,0.0,39.0,21.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,4.0,5.0,0.0,1408.0,1274.0,0.0,559.0,290.0
TELFAIR,3820.0,1.0,34.0,28.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,10.0,3.0,0.0,5.0,2.0,1.0,1359.0,1255.0,0.0,711.0,403.0
THOMAS,19018.0,3.0,480.0,364.0,0.0,43.0,24.0,0.0,5.0,3.0,1.0,50.0,30.0,0.0,33.0,36.0,12.0,6805.0,5688.0,3.0,3667.0,1771.0
TIFT,14379.0,8.0,164.0,150.0,0.0,37.0,29.0,0.0,0.0,0.0,0.0,133.0,123.0,0.0,36.0,37.0,6.0,5689.0,4846.0,5.0,2104.0,1012.0
TURNER,3417.0,0.0,33.0,28.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,8.0,7.0,0.0,4.0,2.0,0.0,1191.0,1036.0,1.0,723.0,377.0
TWIGGS,4104.0,1.0,68.0,69.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,10.0,7.0,0.0,3.0,1.0,2.0,1106.0,1022.0,1.0,1064.0,737.0
WILCOX,3011.0,0.0,9.0,13.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,12.0,7.0,0.0,3.0,4.0,1.0,1156.0,1042.0,0.0,496.0,260.0
WILKINSON,4321.0,1.0,33.0,39.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,1311.0,1187.0,1.0,1103.0,630.0
WORTH,8364.0,3.0,80.0,80.0,0.0,14.0,25.0,0.0,2.0,1.0,0.0,17.0,11.0,0.0,11.0,1.0,2.0,3347.0,3060.0,0.0,1117.0,593.0
TOTAL,269215.0,95.0,4687.0,4199.0,5.0,848.0,607.0,2.0,87.0,67.0,3.0,1653.0,1127.0,3.0,1085.0,823.0,78.0,99224.0,86680.0,41.0,44199.0,23702.0
