AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,40.0,40.81,35.0,25.0,17.86,48.88,33.75,44.23
25-29,0.0,40.76,46.15,0.0,0.0,43.28,43.97,42.24
30-34,80.0,44.07,60.0,0.0,46.15,63.83,45.0,56.84
35-39,50.0,57.95,60.0,0.0,50.0,65.83,55.26,62.61
40-44,0.0,60.32,46.67,0.0,20.0,68.65,59.04,65.45
45-49,83.33,70.0,81.82,0.0,44.44,71.35,55.79,69.88
50-54,83.33,65.52,100.0,50.0,60.0,74.52,60.71,71.52
55-59,100.0,67.59,50.0,100.0,75.0,78.71,67.01,75.16
60-64,40.0,73.43,71.43,0.0,50.0,81.36,66.67,78.34
65-OVER,60.0,70.69,70.59,100.0,85.71,80.17,69.15,77.72
TOTAL,63.89,59.32,58.18,33.33,35.35,69.76,54.82,65.87
