PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
WAVERLY,0.0,69.0,63.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,463.0,492.0,0.0,168.0,116.0,1388.0
WOODBINE,0.0,96.0,123.0,0.0,11.0,9.0,0.0,1.0,1.0,0.0,6.0,7.0,0.0,3.0,1.0,1.0,559.0,522.0,0.0,322.0,233.0,1895.0
BROWNTOWN,0.0,53.0,71.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,302.0,277.0,0.0,18.0,21.0,749.0
HARRIETTS BLUFF,0.0,127.0,147.0,0.0,7.0,7.0,0.0,2.0,0.0,0.0,12.0,2.0,0.0,4.0,3.0,1.0,784.0,720.0,0.0,64.0,54.0,1934.0
WEST KINGSLAND,0.0,236.0,221.0,0.0,15.0,14.0,0.0,1.0,3.0,0.0,25.0,22.0,0.0,14.0,6.0,2.0,1036.0,902.0,0.0,225.0,161.0,2883.0
NORTH KINGSLAND,1.0,214.0,187.0,0.0,22.0,16.0,0.0,0.0,2.0,0.0,19.0,12.0,0.0,15.0,4.0,1.0,655.0,547.0,0.0,518.0,356.0,2569.0
KINGSLAND,0.0,210.0,184.0,0.0,21.0,16.0,0.0,1.0,3.0,0.0,22.0,20.0,0.0,15.0,11.0,0.0,818.0,629.0,0.0,242.0,197.0,2389.0
EAST KINGSLAND,1.0,556.0,503.0,0.0,66.0,38.0,0.0,8.0,6.0,0.0,102.0,64.0,0.0,70.0,48.0,1.0,2086.0,1647.0,0.0,588.0,438.0,6222.0
NORTH ST MARYS,0.0,209.0,184.0,0.0,22.0,19.0,0.0,2.0,0.0,0.0,59.0,51.0,0.0,10.0,6.0,1.0,717.0,484.0,0.0,366.0,237.0,2367.0
MARY LEE CLARK,1.0,318.0,280.0,0.0,31.0,23.0,0.0,4.0,3.0,0.0,56.0,47.0,0.0,27.0,13.0,0.0,1270.0,899.0,0.0,354.0,263.0,3589.0
SOUTH ST MARYS,0.0,137.0,138.0,0.0,15.0,13.0,0.0,1.0,1.0,0.0,20.0,14.0,0.0,13.0,7.0,0.0,824.0,701.0,0.0,148.0,143.0,2175.0
MUSH BLUFF,2.0,213.0,199.0,0.0,30.0,12.0,0.0,1.0,0.0,0.0,58.0,32.0,0.0,17.0,9.0,1.0,977.0,839.0,0.0,232.0,168.0,2790.0
WEST SAINT MARYS,1.0,218.0,216.0,0.0,18.0,13.0,0.0,1.0,1.0,0.0,24.0,18.0,0.0,12.0,11.0,0.0,1340.0,1234.0,0.0,118.0,78.0,3303.0
TOTAL,6.0,2656.0,2516.0,0.0,261.0,185.0,0.0,22.0,20.0,0.0,412.0,294.0,0.0,201.0,120.0,8.0,11831.0,9893.0,0.0,3363.0,2465.0,34253.0
