AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,6355.0,3.0,326.0,288.0,0.0,46.0,37.0,0.0,5.0,5.0,0.0,154.0,90.0,0.0,39.0,19.0,1.0,2814.0,2197.0,0.0,210.0,121.0
30-34,7797.0,3.0,373.0,321.0,0.0,55.0,42.0,0.0,2.0,2.0,0.0,156.0,89.0,0.0,47.0,31.0,1.0,3435.0,2807.0,0.0,280.0,153.0
35-39,9434.0,2.0,375.0,334.0,1.0,56.0,43.0,0.0,2.0,4.0,0.0,233.0,121.0,0.0,63.0,49.0,1.0,4177.0,3362.0,0.0,385.0,226.0
40-44,11308.0,4.0,341.0,386.0,0.0,49.0,41.0,0.0,4.0,8.0,0.0,228.0,142.0,1.0,88.0,59.0,5.0,4902.0,4259.0,0.0,483.0,308.0
45-49,12954.0,1.0,380.0,402.0,0.0,61.0,48.0,0.0,2.0,6.0,1.0,195.0,173.0,0.0,78.0,69.0,1.0,5674.0,5082.0,1.0,463.0,317.0
50-54,12271.0,1.0,318.0,339.0,1.0,47.0,54.0,0.0,4.0,3.0,0.0,144.0,140.0,0.0,47.0,26.0,2.0,5436.0,5070.0,0.0,374.0,265.0
55-59,11628.0,1.0,277.0,326.0,1.0,38.0,38.0,0.0,2.0,5.0,1.0,101.0,101.0,0.0,35.0,42.0,1.0,5355.0,4816.0,0.0,282.0,206.0
60-64,9764.0,1.0,269.0,216.0,0.0,32.0,43.0,0.0,0.0,2.0,0.0,77.0,66.0,0.0,36.0,23.0,1.0,4649.0,4025.0,0.0,181.0,143.0
65-OVER,23054.0,3.0,738.0,690.0,0.0,61.0,72.0,0.0,2.0,5.0,0.0,139.0,92.0,0.0,69.0,51.0,3.0,10840.0,9771.0,0.0,327.0,191.0
TOTAL,104565.0,19.0,3397.0,3302.0,3.0,445.0,418.0,0.0,23.0,40.0,2.0,1427.0,1014.0,1.0,502.0,369.0,16.0,47282.0,41389.0,1.0,2985.0,1930.0
