PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
ELLENWOOD,1.0,168.0,89.0,0.0,24.0,8.0,0.0,2.0,1.0,0.0,42.0,15.0,0.0,10.0,7.0,0.0,121.0,89.0,2.0,1845.0,1105.0,3529.0
FOREST PARK 1,4.0,47.0,42.0,0.0,9.0,2.0,0.0,1.0,1.0,0.0,44.0,24.0,0.0,12.0,14.0,0.0,164.0,139.0,1.0,526.0,309.0,1339.0
FOREST PARK 2,0.0,38.0,27.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,55.0,30.0,0.0,17.0,22.0,0.0,120.0,90.0,1.0,486.0,284.0,1189.0
FOREST PARK 3,0.0,51.0,26.0,0.0,9.0,11.0,0.0,0.0,1.0,0.0,45.0,36.0,0.0,13.0,22.0,0.0,147.0,119.0,0.0,440.0,217.0,1137.0
FOREST PARK 4,0.0,27.0,22.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,31.0,30.0,1.0,29.0,53.0,0.0,171.0,124.0,0.0,250.0,144.0,899.0
FOREST PARK 5,1.0,57.0,44.0,0.0,10.0,9.0,0.0,2.0,1.0,0.0,75.0,59.0,0.0,21.0,30.0,0.0,182.0,114.0,2.0,654.0,323.0,1584.0
FOREST PARK 6,0.0,19.0,12.0,0.0,9.0,3.0,0.0,1.0,2.0,0.0,23.0,11.0,1.0,30.0,53.0,0.0,105.0,99.0,0.0,205.0,116.0,689.0
JONESBORO 1,1.0,100.0,60.0,0.0,11.0,8.0,0.0,1.0,2.0,0.0,17.0,13.0,0.0,6.0,7.0,0.0,114.0,95.0,1.0,1360.0,666.0,2462.0
JONESBORO 2,0.0,86.0,50.0,0.0,22.0,6.0,0.0,0.0,1.0,0.0,25.0,13.0,0.0,11.0,16.0,0.0,54.0,39.0,3.0,1230.0,643.0,2199.0
JONESBORO 3,3.0,99.0,69.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,33.0,17.0,0.0,20.0,18.0,1.0,210.0,187.0,1.0,1003.0,587.0,2263.0
JONESBORO 4,1.0,52.0,15.0,0.0,9.0,4.0,0.0,0.0,2.0,0.0,16.0,6.0,0.0,4.0,9.0,0.0,106.0,75.0,0.0,495.0,226.0,1020.0
JONESBORO 5,0.0,37.0,22.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,25.0,15.0,0.0,7.0,8.0,0.0,170.0,131.0,0.0,466.0,247.0,1140.0
JONESBORO 6,0.0,63.0,54.0,0.0,15.0,18.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,39.0,36.0,0.0,485.0,427.0,0.0,354.0,274.0,1786.0
JONESBORO 7,0.0,77.0,45.0,0.0,19.0,9.0,0.0,0.0,0.0,0.0,20.0,26.0,0.0,18.0,21.0,0.0,189.0,168.0,1.0,742.0,452.0,1787.0
JONESBORO 8,1.0,73.0,48.0,0.0,17.0,14.0,0.0,2.0,1.0,0.0,44.0,25.0,0.0,4.0,4.0,0.0,65.0,45.0,0.0,977.0,417.0,1737.0
JONESBORO 9,0.0,19.0,14.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,16.0,14.0,0.0,3.0,7.0,1.0,80.0,69.0,1.0,299.0,124.0,654.0
JONESBORO 10,1.0,64.0,32.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,25.0,14.0,0.0,7.0,7.0,0.0,101.0,71.0,0.0,787.0,309.0,1433.0
JONESBORO 11,0.0,81.0,64.0,1.0,21.0,11.0,0.0,0.0,2.0,1.0,33.0,19.0,0.0,30.0,21.0,0.0,279.0,258.0,2.0,909.0,512.0,2244.0
JONESBORO 12,0.0,48.0,39.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,22.0,11.0,0.0,6.0,1.0,0.0,54.0,43.0,0.0,826.0,405.0,1476.0
JONESBORO 13,0.0,54.0,39.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,4.0,3.0,0.0,95.0,84.0,0.0,545.0,309.0,1162.0
JONESBORO 14,1.0,99.0,67.0,0.0,20.0,19.0,0.0,1.0,0.0,0.0,30.0,27.0,0.0,21.0,10.0,0.0,489.0,437.0,1.0,897.0,618.0,2737.0
JONESBORO 15,0.0,59.0,31.0,0.0,16.0,4.0,0.0,0.0,0.0,1.0,22.0,19.0,0.0,3.0,6.0,0.0,87.0,69.0,1.0,659.0,259.0,1236.0
JONESBORO 16,1.0,51.0,29.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,4.0,4.0,0.0,75.0,49.0,0.0,541.0,290.0,1085.0
JONESBORO 17,4.0,106.0,64.0,0.0,19.0,11.0,0.0,1.0,0.0,0.0,33.0,24.0,0.0,8.0,6.0,0.0,96.0,70.0,0.0,1329.0,638.0,2409.0
JONESBORO 18,0.0,59.0,33.0,0.0,16.0,7.0,0.0,0.0,1.0,0.0,32.0,16.0,0.0,8.0,14.0,0.0,122.0,103.0,0.0,838.0,381.0,1630.0
LAKE CITY,1.0,70.0,26.0,0.0,14.0,3.0,0.0,1.0,1.0,0.0,23.0,16.0,1.0,12.0,13.0,0.0,99.0,72.0,0.0,704.0,337.0,1393.0
LOVEJOY 1,1.0,78.0,52.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,28.0,17.0,0.0,12.0,5.0,0.0,166.0,150.0,1.0,1024.0,614.0,2175.0
LOVEJOY 2,0.0,81.0,57.0,2.0,17.0,5.0,0.0,4.0,0.0,0.0,27.0,24.0,0.0,6.0,4.0,0.0,114.0,90.0,1.0,809.0,436.0,1677.0
LOVEJOY 3,1.0,164.0,115.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,55.0,30.0,0.0,17.0,8.0,1.0,303.0,264.0,3.0,1588.0,804.0,3389.0
