AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0,34.43,33.33,0,0,0,0,0,0,0,60,20,0,0,75,0,33.33,25.71,0,20,0,30.13
30-34,0,50.98,37.5,0,66.67,50,0,0,0,0,0,0,0,0,25,0,48.97,45.26,0,60,33.33,46.74
35-39,0,66.67,59.52,0,100,50,0,0,0,0,50,0,0,40,0,0,51.99,53.57,0,40,0,53.17
40-44,0,58.62,46.81,0,33.33,0,0,0,0,0,50,100,0,66.67,0,0,55.12,58.53,0,100,0,55.68
45-49,0,57.14,48.15,0,0,0,0,0,100,0,33.33,20,0,0,0,0,59.86,62.36,0,0,50.00,59.9
50-54,0,60.98,52.5,0,100,0,0,100,0,0,0,0,0,25,0,0,66.95,66.32,0,100,0,65.48
55-59,0,66.67,56.25,0,0,0,0,0,0,0,100,0,0,50,100,0,70.45,69.98,0,100,40.00,69.39
60-64,0,74.19,66.67,0,0,200,0,0,0,0,100,0,0,100,0,0,73.36,73.47,0,33.33,25.00,72.77
65-OVER,0,67.8,68.42,100,33.33,0,0,100,0,0,50,0,0,33.33,0,0,65.61,67.11,0,55.56,50.00,66.15
TOTAL,0,57.92,50.0,50.0,50.0,46.15,0,40.0,100.0,0.0,52.17,15.0,0,40.0,29.41,0.0,59.98,59.4,0,48.39,26.92,58.89
