PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
WINSTON,61.6,65.52,50.0,63.68
DAY STAR GYM,71.67,76.03,71.43,73.9
COLONIAL HILLS,38.31,53.17,33.33,46.86
EPHESUS BAPTIST CHUR,73.1,75.72,75.0,74.46
PRAYS MILL GYM,65.28,71.34,90.91,68.56
TURNER,57.44,63.38,80.0,60.81
FIRST BAPTIST LITHIA,60.92,65.7,0.0,63.49
COUNTY LINE BAPTIST,55.47,64.68,33.33,60.72
DEER LICK,57.79,62.42,50.0,60.3
GOLDEN METHODIST CH,47.65,60.42,60.0,55.3
OLD COURTHOUSE,49.39,57.22,40.0,54.03
BEULAH BAPTIST,63.15,68.3,66.67,65.93
STEWART,52.07,63.06,40.0,58.6
ARBOR STATION,54.57,60.46,33.33,57.83
BRIGHT STAR,61.8,62.3,50.0,62.06
DORSETT SHOALS,59.36,65.72,60.0,62.74
CHAPEL HILL,63.28,70.81,133.33,67.41
CHURCH AT CHAPEL HILL,63.53,69.19,45.45,66.62
CHESTNUT LOG,56.83,67.07,25.0,62.61
ST JULIANS EPISCOPAL,58.39,66.33,50.0,62.9
LUTHERAN CHURCH - GS,65.12,69.15,66.67,67.31
FIRST BAPTIST,72.89,76.44,100.0,74.88
FACTORY SHOALS,64.56,71.02,60.0,68.08
BOUNDARY WATERS,56.59,64.84,77.78,61.39
88888,0.0,0.0,0.0,0.0
99999,0.0,21.74,0.0,12.82
TOTAL,59.52,65.96,61.9,63.1
