PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
HARBINS A,6.00,307.0,289.0,0.00,53.00,53.00,0.00,7.00,1.00,1.00,173.0,159.0,0.00,58.00,52.00,2.00,1540.0,1349.0,3.00,794.0,665.0,5512.0
ROCKBRIDGE A,9.00,179.0,147.0,0.00,47.00,36.00,0.00,6.00,2.00,0.00,68.00,58.00,0.00,17.00,21.00,0.00,456.0,461.0,4.00,1267.0,893.0,3671.0
DACULA,4.00,236.0,247.0,1.00,58.00,51.00,0.00,4.00,4.00,2.00,190.0,167.0,1.00,66.00,56.00,2.00,1067.0,993.0,5.00,745.0,540.0,4439.0
SUWANEE A,2.00,121.0,116.0,0.00,20.00,10.00,0.00,0.00,1.00,1.00,35.00,31.00,0.00,65.00,47.00,1.00,487.0,432.0,0.00,162.0,116.0,1647.0
BAYCREEK A,3.00,142.0,125.0,0.00,25.00,29.00,0.00,0.00,2.00,1.00,27.00,24.00,0.00,33.00,40.00,1.00,836.0,758.0,4.00,333.0,301.0,2684.0
GOODWINS A,5.00,193.0,195.0,0.00,59.00,42.00,0.00,1.00,3.00,0.00,231.0,186.0,1.00,132.0,147.0,0.00,886.0,859.0,2.00,425.0,362.0,3729.0
DULUTH A,6.00,203.0,241.0,1.00,75.00,94.00,0.00,5.00,6.00,1.00,118.0,90.00,3.00,316.0,300.0,4.00,1227.0,1153.0,0.00,333.0,323.0,4499.0
DUNCANS A,4.00,253.0,217.0,0.00,33.00,40.00,0.00,5.00,1.00,0.00,89.00,74.00,0.00,60.00,61.00,3.00,1593.0,1454.0,0.00,215.0,185.0,4287.0
PUCKETTS A,7.00,229.0,221.0,0.00,34.00,40.00,0.00,1.00,0.00,0.00,117.0,101.0,0.00,78.00,59.00,9.00,1707.0,1544.0,2.00,268.0,234.0,4651.0
CATES A,1.00,105.0,96.00,0.00,33.00,18.00,0.00,2.00,3.00,0.00,51.00,38.00,0.00,31.00,23.00,0.00,838.0,668.0,0.00,205.0,179.0,2291.0
BERKSHIRE A,3.00,130.0,163.0,0.00,37.00,31.00,1.00,4.00,7.00,2.00,141.0,131.0,1.00,153.0,144.0,0.00,382.0,302.0,2.00,378.0,308.0,2320.0
BERKSHIRE B,15.00,316.0,288.0,1.00,87.00,92.00,0.00,9.00,11.00,0.00,177.0,115.0,2.00,394.0,423.0,2.00,679.0,613.0,4.00,1079.0,798.0,5105.0
DUNCANS C,2.00,150.0,136.0,0.00,21.00,34.00,0.00,3.00,2.00,1.00,51.00,44.00,0.00,50.00,53.00,3.00,1073.0,1059.0,0.00,134.0,107.0,2923.0
GARNERS A,4.00,106.0,137.0,0.00,25.00,28.00,0.00,2.00,3.00,0.00,51.00,43.00,0.00,89.00,102.0,4.00,1292.0,1147.0,3.00,210.0,162.0,3408.0
LAWRENCEVILLE A,17.00,243.0,188.0,1.00,52.00,35.00,0.00,2.00,1.00,0.00,157.0,98.00,1.00,54.00,45.00,5.00,1087.0,828.0,1.00,595.0,372.0,3782.0
LAWRENCEVILLE B,6.00,264.0,231.0,0.00,63.00,50.00,0.00,3.00,3.00,1.00,157.0,123.0,0.00,135.0,144.0,1.00,859.0,735.0,5.00,967.0,734.0,4481.0
MARTINS A,4.00,207.0,168.0,0.00,57.00,38.00,0.00,2.00,2.00,2.00,268.0,213.0,1.00,134.0,116.0,0.00,325.0,291.0,6.00,736.0,507.0,3077.0
MARTINS B,10.00,151.0,169.0,2.00,54.00,46.00,0.00,5.00,1.00,2.00,195.0,160.0,0.00,116.0,120.0,1.00,499.0,423.0,1.00,593.0,413.0,2961.0
MARTINS C,3.00,120.0,115.0,1.00,37.00,20.00,0.00,4.00,0.00,0.00,154.0,138.0,0.00,45.00,36.00,0.00,598.0,521.0,0.00,321.0,212.0,2325.0
PINKCNEYVILLE A,5.00,155.0,182.0,1.00,41.00,36.00,0.00,2.00,2.00,2.00,250.0,205.0,0.00,87.00,94.00,1.00,253.0,233.0,0.00,659.0,457.0,2665.0
PINCKNEYVILLE B,9.00,205.0,219.0,1.00,67.00,39.00,0.00,5.00,1.00,1.00,228.0,156.0,0.00,194.0,211.0,1.00,383.0,334.0,3.00,676.0,453.0,3186.0
PINCKNEYVILLE C,5.00,81.00,68.00,0.00,13.00,15.00,0.00,4.00,2.00,0.00,35.00,23.00,0.00,44.00,50.00,1.00,675.0,556.0,0.00,161.0,104.0,1837.0
PINCKNEYVILLE D,4.00,108.0,138.0,1.00,26.00,26.00,0.00,2.00,3.00,2.00,229.0,170.0,0.00,88.00,112.0,0.00,168.0,175.0,2.00,437.0,295.0,1986.0
SUGAR HILL A,8.00,221.0,217.0,2.00,27.00,29.00,0.00,2.00,4.00,1.00,180.0,126.0,3.00,69.00,62.00,6.00,1175.0,1031.0,0.00,340.0,246.0,3749.0
SUGAR HILL B,9.00,246.0,246.0,1.00,62.00,44.00,0.00,4.00,0.00,1.00,204.0,162.0,0.00,57.00,67.00,3.00,1511.0,1363.0,0.00,332.0,249.0,4561.0
HOG MOUNTAIN A,8.00,261.0,269.0,0.00,65.00,40.00,0.00,1.00,4.00,1.00,212.0,161.0,0.00,143.0,126.0,1.00,1142.0,962.0,2.00,687.0,475.0,4560.0
HOG MOUNTAIN B,11.00,215.0,209.0,2.00,43.00,22.00,0.00,1.00,2.00,2.00,144.0,110.0,1.00,113.0,103.0,0.00,1362.0,1236.0,0.00,397.0,335.0,4308.0
ROCKYCREEK A,6.00,270.0,294.0,0.00,58.00,49.00,0.00,1.00,4.00,1.00,156.0,110.0,1.00,48.00,51.00,4.00,1463.0,1352.0,1.00,684.0,475.0,5028.0
CATES B,5.00,58.00,66.00,0.00,17.00,15.00,0.00,0.00,0.00,0.00,33.00,28.00,1.00,20.00,27.00,2.00,672.0,572.0,0.00,88.00,61.00,1665.0
CATES C,6.00,125.0,110.0,2.00,49.00,29.00,0.00,2.00,1.00,0.00,49.00,34.00,0.00,15.00,16.00,0.00,567.0,482.0,2.00,659.0,454.0,2602.0
HOG MOUNTAIN D,8.00,149.0,161.0,1.00,40.00,33.00,0.00,2.00,3.00,1.00,93.00,80.00,0.00,64.00,70.00,2.00,860.0,854.0,1.00,264.0,204.0,2890.0
BERKSHIRE D,7.00,119.0,107.0,0.00,37.00,40.00,0.00,2.00,2.00,0.00,65.00,60.00,3.00,137.0,151.0,3.00,858.0,797.0,3.00,177.0,148.0,2716.0
BERKSHIRE E,7.00,78.00,94.00,0.00,29.00,29.00,0.00,3.00,3.00,0.00,29.00,29.00,0.00,111.0,122.0,1.00,632.0,559.0,0.00,125.0,101.0,1952.0
BERKSHIRE F,8.00,125.0,118.0,0.00,36.00,30.00,1.00,4.00,5.00,0.00,125.0,107.0,1.00,197.0,163.0,2.00,401.0,279.0,0.00,243.0,196.0,2041.0
CATES D,6.00,134.0,132.0,1.00,37.00,58.00,0.00,4.00,6.00,0.00,51.00,58.00,2.00,109.0,106.0,1.00,970.0,857.0,0.00,317.0,284.0,3133.0
CATES E,4.00,100.0,100.0,0.00,38.00,27.00,0.00,5.00,1.00,0.00,47.00,39.00,0.00,72.00,79.00,0.00,988.0,896.0,1.00,196.0,182.0,2775.0
PINCKNEYVILLE E,4.00,183.0,141.0,0.00,55.00,17.00,0.00,1.00,0.00,0.00,137.0,98.00,1.00,21.00,22.00,2.00,295.0,253.0,6.00,675.0,435.0,2346.0
PINCKNEYVILLE F,4.00,117.0,143.0,0.00,43.00,26.00,0.00,6.00,2.00,1.00,200.0,169.0,0.00,125.0,124.0,2.00,311.0,293.0,1.00,359.0,268.0,2194.0
DUNCANS D,3.00,291.0,275.0,0.00,45.00,46.00,0.00,5.00,1.00,0.00,139.0,106.0,0.00,62.00,44.00,2.00,2127.0,1904.0,3.00,354.0,267.0,5674.0
PINCKNEYVILLE H,6.00,230.0,204.0,0.00,56.00,57.00,0.00,2.00,0.00,0.00,77.00,55.00,3.00,210.0,187.0,2.00,1128.0,1054.0,2.00,456.0,332.0,4061.0
BAYCREEK B,10.00,286.0,278.0,0.00,82.00,44.00,0.00,5.00,2.00,1.00,89.00,88.00,0.00,29.00,22.00,2.00,929.0,810.0,5.00,1466.0,1037.0,5185.0
LAWRENCEVILLE C,5.00,152.0,150.0,0.00,32.00,32.00,0.00,2.00,1.00,1.00,93.00,84.00,0.00,45.00,48.00,2.00,899.0,791.0,0.00,248.0,225.0,2810.0
MARTINS D,5.00,125.0,128.0,0.00,39.00,29.00,0.00,3.00,1.00,0.00,127.0,108.0,0.00,80.00,81.00,2.00,202.0,171.0,1.00,571.0,347.0,2020.0
ROCKBRIDGE B,9.00,172.0,171.0,0.00,63.00,50.00,0.00,2.00,3.00,1.00,85.00,85.00,0.00,42.00,38.00,1.00,592.0,550.0,3.00,1169.0,808.0,3844.0
GARNERS B,2.00,113.0,140.0,1.00,37.00,35.00,0.00,2.00,0.00,0.00,31.00,31.00,0.00,77.00,59.00,1.00,638.0,568.0,2.00,702.0,604.0,3043.0
CATES F,5.00,77.00,63.00,0.00,32.00,22.00,0.00,0.00,3.00,0.00,35.00,17.00,0.00,39.00,32.00,1.00,687.0,553.0,0.00,131.0,100.0,1797.0
CATES G,2.00,103.0,110.0,2.00,39.00,30.00,1.00,5.00,4.00,0.00,26.00,25.00,0.00,80.00,93.00,1.00,1058.0,954.0,2.00,151.0,122.0,2808.0
DULUTH B,6.00,191.0,177.0,1.00,45.00,38.00,0.00,2.00,3.00,0.00,82.00,79.00,3.00,263.0,255.0,3.00,961.0,851.0,2.00,259.0,200.0,3421.0
GARNERS C,4.00,91.00,90.00,0.00,42.00,27.00,0.00,7.00,3.00,0.00,34.00,22.00,0.00,64.00,71.00,2.00,520.0,485.0,1.00,307.0,221.0,1991.0
PINCKNEYVILLE I,4.00,169.0,159.0,0.00,49.00,38.00,0.00,7.00,1.00,1.00,146.0,104.0,0.00,101.0,127.0,0.00,285.0,293.0,1.00,668.0,425.0,2578.0
PINCKNEYVILLE J,10.00,176.0,156.0,0.00,39.00,40.00,1.00,2.00,1.00,1.00,191.0,178.0,0.00,68.00,78.00,1.00,222.0,199.0,2.00,681.0,500.0,2546.0
BERKSHIRE G,1.00,85.00,82.00,0.00,41.00,30.00,0.00,3.00,4.00,1.00,30.00,28.00,0.00,93.00,98.00,3.00,725.0,667.0,0.00,161.0,154.0,2206.0
CATES H,10.00,173.0,145.0,0.00,58.00,44.00,0.00,3.00,1.00,0.00,85.00,57.00,0.00,25.00,27.00,1.00,612.0,513.0,6.00,1080.0,653.0,3493.0
SUGAR HILL C,5.00,234.0,253.0,0.00,42.00,41.00,0.00,3.00,2.00,0.00,128.0,107.0,0.00,81.00,79.00,3.00,1599.0,1451.0,0.00,286.0,212.0,4526.0
SUGAR HILL D,9.00,173.0,185.0,3.00,30.00,30.00,0.00,0.00,1.00,1.00,143.0,118.0,0.00,34.00,29.00,7.00,1204.0,1050.0,1.00,386.0,302.0,3706.0
DULUTH C,4.00,125.0,123.0,0.00,25.00,19.00,0.00,2.00,1.00,0.00,81.00,57.00,0.00,90.00,64.00,0.00,697.0,614.0,1.00,311.0,173.0,2387.0
DULUTH D,9.00,256.0,236.0,1.00,78.00,50.00,0.00,2.00,3.00,0.00,206.0,156.0,3.00,252.0,277.0,3.00,919.0,848.0,7.00,590.0,432.0,4328.0
PINCKNEYVILLE K,10.00,242.0,239.0,1.00,80.00,59.00,0.00,3.00,1.00,4.00,305.0,233.0,3.00,115.0,135.0,0.00,374.0,337.0,2.00,899.0,630.0,3672.0
PINCKNEYVILLE N,8.00,272.0,245.0,1.00,68.00,34.00,0.00,4.00,3.00,3.00,142.0,124.0,1.00,52.00,48.00,2.00,476.0,394.0,1.00,1281.0,856.0,4015.0
LAWRENCEVILLE D,10.00,308.0,267.0,2.00,67.00,37.00,0.00,4.00,3.00,1.00,223.0,148.0,0.00,34.00,43.00,3.00,695.0,559.0,7.00,1560.0,935.0,4906.0
LAWRENCEVILLE E,1.00,106.0,103.0,0.00,17.00,16.00,0.00,2.00,0.00,1.00,88.00,77.00,0.00,44.00,45.00,2.00,708.0,631.0,2.00,273.0,174.0,2290.0
PINCKNEYVILLE L,2.00,77.00,77.00,0.00,23.00,28.00,0.00,1.00,3.00,0.00,23.00,15.00,0.00,70.00,60.00,1.00,961.0,967.0,0.00,32.00,36.00,2376.0
PINCKNEYVILLE M,4.00,121.0,121.0,0.00,22.00,26.00,0.00,0.00,1.00,0.00,19.00,16.00,2.00,75.00,86.00,2.00,1024.0,1008.0,0.00,49.00,44.00,2620.0
GARNERS D,7.00,148.0,94.00,0.00,42.00,29.00,0.00,3.00,1.00,1.00,55.00,47.00,0.00,17.00,13.00,0.00,554.0,459.0,5.00,912.0,712.0,3099.0
BERKSHIRE H,5.00,94.00,113.0,0.00,33.00,32.00,0.00,2.00,5.00,0.00,125.0,134.0,1.00,112.0,110.0,1.00,260.0,239.0,0.00,225.0,178.0,1669.0
PINCKNEYVILLE O,3.00,195.0,228.0,3.00,53.00,60.00,0.00,4.00,3.00,2.00,273.0,177.0,2.00,125.0,140.0,0.00,381.0,369.0,2.00,851.0,671.0,3542.0
PUCKETTS E,5.00,298.0,270.0,0.00,65.00,53.00,0.00,5.00,5.00,1.00,158.0,126.0,1.00,196.0,205.0,7.00,1212.0,1064.0,1.00,645.0,405.0,4722.0
CATES I,5.00,150.0,164.0,0.00,66.00,51.00,0.00,7.00,5.00,0.00,72.00,61.00,0.00,174.0,179.0,2.00,1021.0,940.0,3.00,332.0,278.0,3510.0
CATES J,3.00,152.0,157.0,0.00,57.00,60.00,0.00,3.00,1.00,0.00,54.00,45.00,1.00,116.0,117.0,1.00,844.0,744.0,3.00,505.0,375.0,3238.0
GOODWINS B,5.00,159.0,162.0,0.00,50.00,48.00,0.00,3.00,1.00,1.00,90.00,80.00,1.00,107.0,122.0,1.00,1284.0,1217.0,0.00,267.0,224.0,3822.0
LAWRENCEVILLE F,8.00,219.0,215.0,0.00,74.00,52.00,0.00,2.00,3.00,2.00,180.0,138.0,0.00,93.00,74.00,1.00,542.0,464.0,6.00,982.0,788.0,3843.0
MARTINS E,11.00,462.0,425.0,1.00,110.0,51.00,0.00,3.00,5.00,2.00,315.0,225.0,2.00,151.0,167.0,3.00,498.0,435.0,9.00,2174.0,1301.0,6350.0
