PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
001,1.000,265.0,251.0,0.00,20.00,19.00,0.00,1.000,2.000,5.000,227.0,221.0,0.00,30.00,33.00,3.000,1814.0,1560.0,0.00,115.0,86.00,4653.0
002,2.000,149.0,137.0,0.00,16.00,18.00,0.00,0.00,2.000,0.00,268.0,275.0,0.00,42.00,52.00,0.00,599.0,511.0,0.00,129.0,91.00,2291.0
003,2.000,123.0,135.0,0.00,14.00,19.00,0.00,1.000,0.00,1.000,136.0,102.0,0.00,17.00,11.00,0.00,902.0,702.0,0.00,145.0,126.0,2436.0
004,2.000,162.0,182.0,0.00,18.00,16.00,0.00,2.000,2.000,0.00,121.0,111.0,1.000,18.00,17.00,2.000,1571.0,1463.0,0.00,92.00,58.00,3838.0
005,3.000,172.0,153.0,0.00,14.00,12.00,0.00,3.000,1.000,1.000,55.00,70.00,0.00,12.00,12.00,9.000,1640.0,1412.0,1.000,71.00,68.00,3709.0
006,0.00,170.0,176.0,0.00,18.00,13.00,0.00,1.000,2.000,0.00,78.00,61.00,0.00,13.00,16.00,2.000,1248.0,1117.0,0.00,144.0,111.0,3170.0
007,1.000,259.0,254.0,0.00,20.00,20.00,0.00,1.000,5.000,1.000,90.00,48.00,0.00,56.00,31.00,5.000,2000.0,1922.0,0.00,120.0,104.0,4937.0
008,3.000,163.0,158.0,0.00,9.000,13.00,0.00,2.000,2.000,0.00,73.00,67.00,0.00,13.00,8.000,4.000,1412.0,1417.0,0.00,75.00,66.00,3485.0
009,0.00,177.0,223.0,0.00,26.00,24.00,0.00,3.000,1.000,2.000,181.0,176.0,1.000,23.00,21.00,2.000,1629.0,1467.0,0.00,177.0,135.0,4268.0
010,3.000,223.0,232.0,0.00,23.00,22.00,0.00,3.000,4.000,2.000,323.0,340.0,0.00,47.00,58.00,1.000,1703.0,1603.0,0.00,162.0,128.0,4877.0
011,4.000,267.0,294.0,0.00,39.00,25.00,0.00,2.000,1.000,4.000,624.0,598.0,0.00,26.00,16.00,1.000,1098.0,938.0,1.000,403.0,299.0,4640.0
012,4.000,156.0,160.0,0.00,11.00,11.00,0.00,1.000,2.000,0.00,101.0,83.00,0.00,9.000,8.000,0.00,1395.0,1175.0,0.00,119.0,92.00,3327.0
013,1.000,122.0,107.0,0.00,6.000,7.000,0.00,2.000,0.00,0.00,29.00,38.00,0.00,17.00,10.00,1.000,1309.0,1133.0,0.00,80.00,59.00,2921.0
014,2.000,97.00,101.0,0.00,6.000,6.000,0.00,0.00,0.00,0.00,17.00,12.00,0.00,3.000,5.000,3.000,1348.0,1228.0,0.00,8.000,12.00,2848.0
015,0.00,87.00,77.00,0.00,11.00,6.000,0.00,0.00,2.000,0.00,9.000,10.00,0.00,4.000,4.000,2.000,1132.0,1030.0,0.00,9.000,6.000,2389.0
016,4.000,201.0,221.0,0.00,18.00,9.000,0.00,1.000,0.00,0.00,72.00,85.00,0.00,14.00,11.00,3.000,2280.0,2012.0,0.00,39.00,33.00,5003.0
017,0.00,139.0,175.0,0.00,13.00,8.000,0.00,1.000,0.00,0.00,62.00,60.00,0.00,15.00,13.00,1.000,1513.0,1315.0,0.00,24.00,25.00,3364.0
018,1.000,148.0,168.0,0.00,3.000,7.000,0.00,2.000,2.000,0.00,43.00,44.00,0.00,12.00,11.00,1.000,1392.0,1300.0,0.00,20.00,27.00,3181.0
019,1.000,150.0,174.0,0.00,13.00,13.00,0.00,0.00,1.000,0.00,75.00,59.00,0.00,14.00,5.000,6.000,1783.0,1658.0,0.00,29.00,31.00,4012.0
020,1.000,125.0,125.0,0.00,4.000,13.00,0.00,0.00,0.00,0.00,34.00,27.00,0.00,7.000,7.000,1.000,1836.0,1539.0,0.00,14.00,20.00,3753.0
021,0.00,152.0,138.0,0.00,10.00,13.00,0.00,3.000,1.000,0.00,95.00,97.00,0.00,9.000,5.000,0.00,1415.0,1023.0,0.00,189.0,116.0,3266.0
022,5.000,125.0,127.0,0.00,12.00,6.000,0.00,0.00,1.000,1.000,161.0,130.0,0.00,13.00,8.000,0.00,154.0,79.00,0.00,1085.0,696.0,2603.0
023,5.000,309.0,341.0,0.00,50.00,36.00,0.00,4.000,1.000,3.000,486.0,491.0,0.00,62.00,73.00,1.000,1300.0,1140.0,1.000,405.0,223.0,4931.0
024,2.000,118.0,145.0,0.00,18.00,9.000,0.00,0.00,1.000,0.00,131.0,150.0,0.00,11.00,9.000,2.000,955.0,793.0,0.00,192.0,132.0,2668.0
025,1.000,92.00,68.00,0.00,20.00,6.000,0.00,1.000,0.00,0.00,34.00,32.00,0.00,9.000,11.00,2.000,614.0,507.0,0.00,142.0,82.00,1621.0
026,1.000,39.00,31.00,0.00,3.000,1.000,0.00,0.00,0.00,0.00,16.00,17.00,0.00,4.000,3.000,0.00,424.0,404.0,0.00,17.00,16.00,976.0
027,0.00,121.0,118.0,0.00,1.000,11.00,0.00,4.000,2.000,0.00,23.00,15.00,0.00,7.000,0.00,2.000,1593.0,1481.0,0.00,4.000,9.000,3391.0
028,7.000,440.0,410.0,0.00,34.00,35.00,0.00,2.000,2.000,1.000,101.0,75.00,1.000,49.00,27.00,5.000,3111.0,2660.0,0.00,122.0,108.0,7190.0
029,2.000,148.0,148.0,0.00,11.00,12.00,0.00,0.00,0.00,0.00,75.00,73.00,0.00,5.000,10.00,3.000,1176.0,1136.0,0.00,49.00,49.00,2897.0
030,2.000,204.0,226.0,0.00,22.00,13.00,0.00,1.000,2.000,0.00,129.0,112.0,0.00,16.00,15.00,3.000,1648.0,1500.0,0.00,124.0,96.00,4113.0
031,2.000,138.0,120.0,0.00,20.00,12.00,0.00,2.000,4.000,0.00,35.00,42.00,0.00,18.00,22.00,2.000,830.0,747.0,0.00,47.00,37.00,2078.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1.000,1.000,4.000
99999,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,2.000,1.000,5.000
TOTAL,62.00,5241.0,5375.0,0.00,503.0,436.0,0.00,43.00,43.00,21.00,3904.0,3721.0,3.000,595.0,532.0,67.00,42825.0,37974.0,3.000,4354.0,3143.0,108845.0
