AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0,26.92,38.24,0,66.67,25,0,0,100,0,33.33,50,0,50,50,0,45.25,44.71,0,35.29,31.03,42.99
25-29,0,50,26.67,0,0,0,0,0,100,0,25,33.33,0,0,0,0,37.97,38.46,0,43.24,7.69,36.8
30-34,0,27.27,41.67,0,0,0,0,0,0,0,0,33.33,0,0,0,0,49.12,55.15,0,34.62,25.93,48.41
35-39,0,0,20,0,0,0,0,0,0,0,0,50,0,100,0,0,55.91,56.52,0,61.54,38.46,54.33
40-44,0,60,46.15,0,0,0,0,0,0,0,33.33,0,0,0,0,100,64.29,69.23,0,70,52.00,64.87
45-49,0,44.44,66.67,0,100,0,0,0,0,0,100,0,0,0,100,0,63.76,67.47,0,58.82,42.86,63.99
50-54,0,42.86,23.08,0,0,0,0,0,0,0,100,100,0,100,0,0,64.71,68.33,0,70.45,46.15,64.51
55-59,0,40,30,0,0,0,0,100,0,0,100,0,0,100,33.33,100,71.43,74.67,0,75,62.50,71.76
60-64,0,75,66.67,0,100,0,0,100,0,0,100,66.67,0,100,0,0,77.34,79.22,0,72.34,62.50,76.71
65-OVER,0,50,63.64,0,0,0,0,0,100,0,100,50,0,75,0,0,73.3,77.76,0,66.67,56.60,73.65
TOTAL,0.0,40.0,41.67,0,46.67,10.0,0,60.0,100.0,0,52.63,50.0,0,75.0,30.0,100.0,62.22,65.34,0,61.07,44.48,61.67
