AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,40.85,40.00,100.0,0.00,51.47,36.49,47.35
25-29,100.0,50.94,36.36,0.00,50.00,45.11,28.21,45.52
30-34,100.0,47.65,50.00,0.00,100.0,58.20,44.83,55.26
35-39,0.00,51.72,0.00,0.00,0.00,64.12,48.00,60.30
40-44,100.0,60.87,0.00,100.0,50.00,67.41,28.57,65.34
45-49,100.0,62.60,100.0,0.00,100.0,69.71,50.00,68.41
50-54,100.0,69.57,100.0,0.00,100.0,77.27,52.17,75.48
55-59,100.0,71.02,57.14,0.00,0.00,75.89,56.00,74.24
60-64,0.00,77.60,50.00,0.00,0.00,78.28,33.33,76.60
65-OVER,33.33,71.39,71.43,0.00,50.00,77.28,40.00,75.64
TOTAL,75.00,62.01,54.79,66.67,45.00,68.89,40.45,66.44
