AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,471.0,0.0,14.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,109.0,0.0,108.0,95.0
30-34,377.0,0.0,8.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,104.0,86.0,0.0,98.0,64.0
35-39,391.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,97.0,103.0,0.0,113.0,44.0
40-44,346.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,106.0,85.0,0.0,70.0,60.0
45-49,380.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,115.0,102.0,0.0,87.0,54.0
50-54,449.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,112.0,126.0,0.0,96.0,85.0
55-59,511.0,0.0,8.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,151.0,130.0,0.0,122.0,82.0
60-64,489.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,137.0,0.0,107.0,83.0
65-OVER,1261.0,0.0,11.0,22.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,466.0,385.0,0.0,240.0,130.0
TOTAL,4675.0,0.0,92.0,123.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,3.0,8.0,0.0,5.0,5.0,0.0,1426.0,1263.0,0.0,1041.0,697.0
