AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,33.33,37.17,33.33,0.0,0.0,39.81,25.0,37.05
25-29,0.0,34.19,42.86,0.0,0.0,37.32,36.54,36.35
30-34,100.0,38.89,30.0,100.0,50.0,47.88,46.0,45.88
35-39,100.0,36.84,44.44,0.0,66.67,54.25,37.14,49.11
40-44,60.0,48.24,0.0,0.0,25.0,56.27,61.11,53.72
45-49,66.67,60.0,0.0,0.0,0.0,59.69,44.83,58.28
50-54,0.0,60.91,66.67,100.0,50.0,66.07,57.14,64.38
55-59,50.0,71.96,50.0,0.0,66.67,70.39,71.88,70.65
60-64,50.0,62.37,50.0,0.0,66.67,68.75,70.59,67.14
65-OVER,50.0,65.62,50.0,0.0,0.0,72.09,65.71,70.18
TOTAL,56.0,52.4,34.38,42.86,32.43,58.76,48.88,56.2
