AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,1969.0,0.0,95.0,119.0,0.0,5.0,10.0,0.0,2.0,0.0,0.0,72.0,59.0,0.0,4.0,2.0,1.0,838.0,753.0,0.0,5.0,4.0
30-34,1651.0,0.0,82.0,90.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,52.0,44.0,0.0,0.0,1.0,0.0,711.0,654.0,0.0,5.0,5.0
35-39,1691.0,0.0,74.0,77.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,37.0,37.0,0.0,0.0,2.0,1.0,794.0,642.0,0.0,5.0,10.0
40-44,1770.0,0.0,74.0,79.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,50.0,44.0,0.0,1.0,1.0,1.0,844.0,655.0,0.0,8.0,7.0
45-49,2001.0,0.0,66.0,81.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,33.0,54.0,0.0,4.0,0.0,2.0,919.0,822.0,0.0,2.0,6.0
50-54,2019.0,0.0,73.0,61.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,25.0,32.0,0.0,5.0,1.0,0.0,931.0,873.0,0.0,7.0,5.0
55-59,1951.0,0.0,47.0,66.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,21.0,33.0,0.0,2.0,2.0,1.0,881.0,879.0,0.0,3.0,9.0
60-64,1676.0,0.0,53.0,46.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,1.0,0.0,0.0,837.0,700.0,0.0,4.0,4.0
65-OVER,4041.0,0.0,93.0,93.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,19.0,37.0,0.0,3.0,2.0,0.0,1974.0,1798.0,0.0,5.0,3.0
TOTAL,18769.0,0.0,657.0,712.0,0.0,39.0,42.0,0.0,6.0,2.0,0.0,318.0,354.0,0.0,20.0,11.0,6.0,8729.0,7776.0,0.0,44.0,53.0
