PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
TOWN,44.55,57.09,50.0,52.11
ALMON,58.64,70.57,33.33,65.24
ALCOVY,62.97,66.52,100.0,64.95
COVINGTON MILLS,54.24,61.95,100.0,58.64
BREWERS,63.61,69.31,100.0,66.57
BRICK STORE,69.36,70.6,0.0,70.02
CEDAR SHOALS,46.61,58.73,0.0,53.37
LIVINGSTON,52.59,64.23,100.0,59.0
DOWNS,59.65,68.5,33.33,64.44
GUM CREEK,71.41,74.7,100.0,73.13
BEAVERDAM,54.52,66.08,66.67,60.93
LEGUINN,68.48,75.35,0.0,72.11
MANSFIELD,71.23,75.28,0.0,73.34
NEWBORN,71.71,78.01,0.0,74.97
OXFORD,63.82,66.56,0.0,65.29
ROCKY PLAINS,58.18,64.73,0.0,61.71
BUCK CREEK,57.8,66.53,33.33,62.55
STANSELLS,51.43,64.12,100.0,58.43
FAIRVIEW,43.84,58.8,0.0,53.17
CROWELL,49.02,64.97,0.0,58.55
HUB,74.08,76.05,0.0,75.05
88888,0.0,0.0,0.0,0.0
TOTAL,58.22,66.44,58.06,62.76
