AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,100,46.34,39.83,0,57.14,10,0,0,0,0,46.15,50,0,26.92,25,100,54.41,44.16,0,52.17,30.56,47.76
30-34,75,74.36,54.17,0,40,16.67,0,0,0,0,57.14,35,0,56.25,25,0,68.86,60.76,0,55.77,41.03,63.35
35-39,100,69.6,59.68,0,58.33,75,0,0,0,0,66.67,66.67,0,64.29,77.78,66.67,77.55,75.06,0,67.19,44.44,74.06
40-44,0,71.88,67.8,0,78.57,36.36,0,50,0,0,76.19,54.55,0,87.5,57.89,0,79.95,75.84,0,76,56.10,76.36
45-49,0,75.4,67.36,0,78.57,60,0,0,0,0,84.62,76.92,0,70.83,72.22,100,80.12,80.03,0,71.05,48.78,78.36
50-54,0,72.38,67.03,0,71.43,55.56,0,100,100,0,76.92,72.22,0,78.57,71.43,0,81.83,81.28,0,77.59,60.71,79.88
55-59,0,70.18,61.9,0,80,66.67,0,0,0,0,57.14,57.14,0,62.5,60.71,0,85.56,82.17,0,75,60.78,81.61
60-64,50,67.57,62,0,50,50,0,0,100,0,83.33,90,0,82.35,77.78,0,85.36,83.71,0,85.25,77.27,83.48
65-OVER,0,66.13,77.45,0,66.67,66.67,0,100,0,0,88.89,50,0,63.16,62.86,0,80.6,84.62,0,67.35,70.13,81.2
TOTAL,66.67,68.05,61.61,0,68.35,51.69,0,57.14,66.67,0,69.8,60.0,0,65.53,59.16,71.43,78.32,76.26,0,70.16,56.77,75.36
