PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SYLVANIA,55.56,64.53,0.00,60.76
HUNTERS,56.81,69.53,0.00,63.75
NEWINGTON,50.76,62.65,0.00,56.96
JENK HILL FIRE STA,58.11,66.12,0.00,62.46
ROCKY FORD,64.37,70.34,0.00,67.45
BAY BRANCH,61.89,68.68,100.0,65.47
HILTONIA,56.48,65.68,100.0,61.49
SCREVEN REC. DEPT.,56.19,64.73,0.00,60.60
GREENHILL CHURCH,62.11,69.25,0.00,65.69
SR CITIZENS CENTER,51.48,61.87,0.00,57.56
JACKSON FIRE STATION,60.00,67.96,0.00,63.93
FOY'S STORE,50.00,66.67,0.00,58.91
88888,0.00,200.0,0.00,66.67
TOTAL,56.74,65.80,66.67,61.64
