AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,39.59,100.0,0.00,33.33,60.55,28.57,46.56
25-29,0.00,50.97,0.00,0.00,0.00,65.79,22.22,54.13
30-34,0.00,53.64,0.00,0.00,0.00,57.47,66.67,54.88
35-39,0.00,54.90,0.00,0.00,0.00,53.16,62.50,53.47
40-44,0.00,61.76,50.00,0.00,0.00,67.61,50.00,63.38
45-49,0.00,73.29,0.00,0.00,0.00,76.00,62.50,72.84
50-54,0.00,62.80,0.00,0.00,0.00,77.68,90.00,68.48
55-59,0.00,74.44,33.33,100.0,0.00,77.87,60.00,75.00
60-64,0.00,80.25,50.00,0.00,0.00,83.94,83.33,81.31
65-OVER,50.00,67.14,0.00,100.0,50.00,77.22,66.67,71.48
TOTAL,11.11,62.30,33.33,100.0,25.00,72.31,59.42,65.63
