PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
THOMSON,0.0,11.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,196.0,170.0,1.0,203.0,145.0,747.0
CHAMBLISS,0.0,6.0,11.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,3.0,0.0,294.0,273.0,0.0,168.0,147.0,924.0
ANDERSONVILLE,0.0,10.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,161.0,174.0,0.0,52.0,43.0,455.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
REES PARK,1.0,38.0,39.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,25.0,8.0,0.0,14.0,14.0,0.0,383.0,309.0,1.0,1407.0,863.0,3119.0
GSW CONF CENTER,0.0,51.0,47.0,0.0,17.0,17.0,0.0,0.0,1.0,0.0,26.0,16.0,0.0,14.0,7.0,0.0,1134.0,830.0,0.0,607.0,431.0,3198.0
REC DEPT,1.0,29.0,26.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,7.0,7.0,0.0,274.0,238.0,3.0,1493.0,895.0,2987.0
AIRPORT,0.0,16.0,19.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,5.0,10.0,0.0,513.0,436.0,2.0,408.0,306.0,1747.0
CONCORD,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,180.0,164.0,0.0,17.0,19.0,394.0
PLAINS,0.0,12.0,15.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,314.0,273.0,0.0,281.0,208.0,1116.0
AG CENTER,0.0,18.0,41.0,0.0,9.0,4.0,0.0,1.0,0.0,0.0,10.0,11.0,0.0,3.0,2.0,0.0,692.0,577.0,0.0,392.0,319.0,2079.0
TOTAL,2.0,194.0,215.0,0.0,48.0,49.0,0.0,1.0,1.0,0.0,94.0,70.0,0.0,53.0,43.0,0.0,4141.0,3445.0,7.0,5028.0,3376.0,16767.0
