PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
0871,10000,47.90,36.47,00000,40.91,27.78,00000,25000,00000,00000,43.75,40000,00000,66.67,50000,00000,54.94,57.18,00000,52.49,47.52,54.06
0917,00000,60000,42.98,00000,66.67,25000,00000,00000,00000,00000,00000,00000,00000,60000,00000,50000,62.63,62.98,00000,57.14,25.00,61.34
0944,10000,60.57,47.72,00000,50000,25000,00000,00000,00000,00000,60000,42.86,00000,00000,25000,00000,67.26,65.35,00000,66.27,46.27,64.69
0953,00000,60.78,56.14,00000,42.86,00000,00000,00000,50000,00000,50000,50000,00000,00000,00000,00000,67.20,66.54,00000,83.33,43.75,65.79
1161,00000,64.86,62.67,00000,10000,00000,00000,00000,00000,00000,00000,10000,00000,00000,00000,00000,66.73,62.94,00000,00000,00000,64.71
1501,00000,57.14,50.29,00000,46.67,42.86,00000,00000,00000,00000,33.33,55.56,00000,30000,71.43,00000,62.37,62.50,00000,61.80,45.59,61.08
1809,00000,52.78,56.79,00000,50000,10000,00000,00000,00000,00000,00000,00000,00000,00000,00000,10000,66.84,65.78,00000,58.06,40.00,63.57
1812,50000,44.94,39.85,00000,50000,36.36,00000,66.67,50000,00000,29.17,47.37,00000,36.36,10000,00000,50.12,51.67,00000,35.29,29.00,48.87
1818,00000,49.51,48.63,00000,50000,45.45,00000,10000,10000,00000,42.86,33.33,00000,50000,88.89,10000,64.74,63.09,00000,47.78,34.78,61.87
1851,00000,63.53,57.69,00000,10000,00000,00000,00000,10000,00000,83.33,00000,00000,50000,10000,00000,63.45,60.23,00000,00000,100.00,61.67
1893,00000,41.62,40.65,00000,50000,25000,00000,00000,00000,00000,44.44,33.33,00000,00000,50000,10000,53.10,52.02,00000,38.16,32.89,50.32
88888,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
TOTAL,71.43,52.33,45.89,00000,49.55,31.94,00000,44.44,75.00,00000,43.43,43.68,00000,43.10,65.79,55.56,60.20,60.19,00000,50.57,39.64,58.35
