PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
0871,1.000,148.0,120.0,0.00,9.000,5.000,0.00,1.000,0.00,0.00,7.000,6.000,0.00,10.00,6.000,0.00,1586.0,1365.0,0.00,95.00,67.00,3426.0
0917,0.00,51.00,49.00,0.00,2.000,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.000,0.00,1.000,580.0,570.0,0.00,4.000,2.000,1263.0
0944,3.000,192.0,136.0,0.00,7.000,3.000,0.00,0.00,0.00,0.00,9.000,6.000,0.00,0.00,1.000,0.00,1820.0,1588.0,0.00,55.00,31.00,3851.0
0953,0.00,31.00,32.00,0.00,3.000,0.00,0.00,0.00,1.000,0.00,3.000,1.000,0.00,0.00,0.00,0.00,375.0,350.0,0.00,20.00,7.000,823.0
1161,0.00,48.00,47.00,0.00,3.000,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,347.0,304.0,0.00,0.00,0.00,750.0
1501,0.00,204.0,174.0,0.00,7.000,3.000,0.00,0.00,0.00,0.00,5.000,10.00,0.00,3.000,5.000,0.00,1797.0,1563.0,0.00,55.00,31.00,3857.0
1809,0.00,38.00,46.00,0.00,3.000,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,391.0,369.0,0.00,36.00,24.00,909.0
1812,1.000,182.0,161.0,0.00,11.00,4.000,0.00,2.000,1.000,0.00,7.000,9.000,0.00,4.000,3.000,0.00,1485.0,1189.0,0.00,60.00,29.00,3148.0
1818,0.00,151.0,177.0,0.00,4.000,5.000,0.00,1.000,2.000,0.00,3.000,3.000,0.00,4.000,8.000,1.000,2005.0,1660.0,0.00,43.00,24.00,4091.0
1851,0.00,54.00,45.00,0.00,1.000,0.00,0.00,0.00,2.000,0.00,5.000,0.00,0.00,1.000,1.000,0.00,434.0,365.0,0.00,0.00,1.000,909.0
1893,0.00,82.00,63.00,0.00,5.000,1.000,0.00,0.00,0.00,0.00,4.000,2.000,0.00,0.00,1.000,2.000,754.0,593.0,0.00,29.00,25.00,1561.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,5.000,1181.0,1050.0,0.00,55.00,23.00,0.00,4.000,6.000,0.00,43.00,38.00,0.00,25.00,25.00,5.000,11574.0,9916.0,0.00,397.0,241.0,24588.0
