PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
CENTER POST,60.0,40.0,0.0,0.0,42.86,62.79,50.25,61.34
ROCK SPRING,16.67,57.33,51.72,0.0,38.46,66.34,54.71,64.69
ARMUCHEE VALLEY,0.0,67.5,50.0,50.0,33.33,66.88,58.33,65.79
MOUNTAIN,0.0,0.0,50.0,0.0,100.0,64.91,63.76,64.71
CHATTANOOGA VALLEY,47.06,54.78,45.45,0.0,45.45,62.42,53.77,61.08
KENSINGTON,0.0,49.18,0.0,0.0,57.14,66.35,54.9,63.57
ROSSVILLE,50.0,32.96,37.21,60.0,45.45,50.79,42.42,48.87
CHICKAMAUGA,70.59,42.14,37.5,100.0,47.37,63.99,49.03,61.87
FAIRYLAND,66.67,33.33,55.56,100.0,33.33,61.94,60.37,61.67
FAIRVIEW,16.67,35.53,40.0,0.0,42.86,52.65,41.19,50.32
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,49.28,44.44,43.87,69.23,44.76,60.93,50.27,59.11
