PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1663,69.23,71.36,55.93,0.00,68.00,76.75,64.04,74.30
1675,0.00,68.25,80.00,0.00,33.33,76.40,65.74,74.16
250,22.03,58.55,37.04,0.00,52.94,73.87,59.25,69.53
414,33.33,58.70,60.00,100.0,57.14,76.73,69.40,74.85
415,65.00,67.63,45.95,100.0,60.00,75.49,60.91,72.27
416,33.33,52.00,63.16,100.0,57.14,70.21,60.82,67.93
417,45.24,59.00,51.43,0.00,40.82,67.79,51.44,63.75
418,58.82,54.81,51.85,50.00,54.17,72.73,56.31,66.36
419,50.00,53.32,38.33,0.00,45.83,66.82,46.88,60.58
420,47.06,50.80,43.75,0.00,46.67,63.42,45.37,54.49
421,42.86,57.54,53.12,100.0,48.78,68.27,52.95,63.62
422,50.00,64.19,50.00,100.0,52.94,76.86,62.60,73.68
423,52.63,71.95,61.76,50.00,64.71,70.53,58.44,68.70
424,21.43,62.82,51.43,100.0,71.43,74.53,58.15,71.21
425,57.14,44.65,38.46,100.0,32.35,62.61,38.13,52.20
426,70.00,59.88,50.00,0.00,75.00,75.93,58.16,72.11
427,46.15,67.58,63.04,25.00,48.28,71.25,59.64,67.86
454,44.44,59.74,75.00,100.0,33.33,67.85,49.10,64.43
502,75.00,58.70,54.55,0.00,66.67,78.05,64.00,75.56
503,100.0,65.28,50.00,0.00,0.00,78.61,61.16,75.30
559,28.57,54.20,66.67,100.0,57.14,77.46,64.32,73.61
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,44.11,55.87,51.44,56.00,51.30,72.25,55.73,67.16
