PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1,2.000,37.00,40.00,0.00,5.000,2.000,0.00,0.00,0.00,0.00,1.000,2.000,0.00,0.00,2.000,0.00,475.0,396.0,1.000,1075.0,750.0,2788.0
10,0.00,6.000,8.000,0.00,2.000,0.00,0.00,0.00,0.00,0.00,3.000,2.000,0.00,1.000,0.00,0.00,247.0,247.0,0.00,12.00,5.000,533.0
11,0.00,14.00,8.000,0.00,1.000,1.000,0.00,0.00,0.00,0.00,2.000,1.000,0.00,0.00,0.00,0.00,219.0,207.0,0.00,16.00,16.00,485.0
12,0.00,18.00,25.00,0.00,6.000,3.000,0.00,0.00,0.00,0.00,2.000,0.00,0.00,2.000,0.00,1.000,508.0,459.0,0.00,70.00,64.00,1158.0
14,1.000,9.000,18.00,0.00,3.000,3.000,0.00,0.00,0.00,0.00,2.000,2.000,0.00,0.00,0.00,1.000,343.0,292.0,0.00,37.00,37.00,748.0
15,0.00,10.00,20.00,0.00,4.000,6.000,0.00,1.000,0.00,0.00,3.000,3.000,0.00,1.000,2.000,0.00,580.0,528.0,0.00,79.00,56.00,1293.0
16,0.00,11.00,5.000,0.00,1.000,1.000,0.00,0.00,0.00,0.00,2.000,0.00,0.00,0.00,0.00,0.00,92.00,85.00,0.00,54.00,46.00,297.0
2,1.000,10.00,13.00,0.00,2.000,5.000,0.00,1.000,1.000,0.00,2.000,4.000,0.00,4.000,4.000,1.000,569.0,439.0,0.00,164.0,79.00,1299.0
3,0.00,8.000,10.00,0.00,3.000,3.000,0.00,0.00,0.00,0.00,2.000,4.000,0.00,0.00,0.00,0.00,336.0,299.0,0.00,72.00,68.00,805.0
4,0.00,11.00,17.00,0.00,1.000,2.000,0.00,0.00,0.00,0.00,2.000,1.000,0.00,1.000,1.000,0.00,334.0,298.0,0.00,70.00,54.00,792.0
5,0.00,5.000,14.00,0.00,0.00,2.000,0.00,0.00,0.00,0.00,2.000,2.000,0.00,0.00,0.00,0.00,234.0,210.0,0.00,24.00,20.00,513.0
6,0.00,14.00,20.00,0.00,2.000,4.000,0.00,0.00,1.000,0.00,5.000,2.000,0.00,2.000,0.00,0.00,426.0,407.0,0.00,108.0,79.00,1070.0
7,0.00,7.000,8.000,0.00,2.000,0.00,0.00,0.00,0.00,0.00,3.000,0.00,0.00,4.000,0.00,0.00,176.0,175.0,0.00,18.00,15.00,408.0
8,0.00,1.000,4.000,0.00,2.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.000,0.00,0.00,68.00,74.00,0.00,36.00,32.00,219.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,1.000
9,0.00,2.000,7.000,0.00,1.000,2.000,0.00,0.00,0.00,0.00,2.000,1.000,0.00,0.00,0.00,0.00,241.0,235.0,0.00,117.0,94.00,702.0
TOTAL,4.000,163.0,217.0,0.00,35.00,34.00,0.00,2.000,2.000,0.00,33.00,24.00,0.00,17.00,9.000,3.000,4848.0,4351.0,1.000,1953.0,1415.0,13111.0
