PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
02,2255.0,1.0,49.0,34.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,3.0,4.0,0.0,348.0,225.0,0.0,1065.0,488.0
03,2750.0,1.0,92.0,80.0,0.0,17.0,4.0,0.0,2.0,3.0,0.0,22.0,12.0,0.0,10.0,8.0,0.0,413.0,350.0,0.0,1094.0,642.0
04,2593.0,1.0,81.0,55.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,20.0,16.0,0.0,9.0,6.0,0.0,930.0,789.0,0.0,434.0,241.0
05,1635.0,4.0,53.0,34.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,2.0,2.0,0.0,497.0,391.0,0.0,402.0,218.0
06,2085.0,2.0,41.0,48.0,0.0,4.0,6.0,0.0,1.0,1.0,0.0,8.0,11.0,0.0,1.0,0.0,0.0,854.0,771.0,0.0,211.0,126.0
07,1742.0,0.0,29.0,31.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,10.0,8.0,0.0,2.0,3.0,0.0,764.0,687.0,0.0,125.0,74.0
08,1451.0,0.0,33.0,37.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,7.0,8.0,0.0,449.0,319.0,0.0,392.0,179.0
09,2445.0,0.0,67.0,62.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,5.0,1.0,1.0,413.0,352.0,1.0,951.0,553.0
10,3644.0,0.0,104.0,81.0,0.0,15.0,9.0,0.0,2.0,4.0,0.0,27.0,13.0,0.0,6.0,4.0,0.0,1071.0,920.0,1.0,876.0,511.0
12,2828.0,1.0,77.0,78.0,0.0,5.0,7.0,0.0,1.0,1.0,0.0,11.0,9.0,0.0,7.0,8.0,0.0,1156.0,1048.0,0.0,249.0,170.0
13,2766.0,2.0,79.0,61.0,0.0,16.0,3.0,0.0,1.0,1.0,0.0,26.0,9.0,0.0,4.0,6.0,0.0,348.0,315.0,0.0,1186.0,709.0
14,1378.0,0.0,22.0,18.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,0.0,2.0,1.0,0.0,591.0,530.0,0.0,139.0,63.0
15,1018.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,497.0,432.0,0.0,32.0,26.0
16,554.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,254.0,220.0,0.0,35.0,24.0
17,1501.0,0.0,26.0,29.0,0.0,2.0,1.0,0.0,5.0,2.0,0.0,3.0,6.0,0.0,3.0,2.0,0.0,649.0,541.0,0.0,134.0,98.0
18,2002.0,0.0,69.0,63.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,26.0,13.0,0.0,7.0,2.0,0.0,624.0,538.0,0.0,406.0,247.0
19,2844.0,1.0,71.0,56.0,0.0,16.0,8.0,0.0,0.0,1.0,0.0,27.0,24.0,0.0,4.0,6.0,0.0,802.0,666.0,0.0,730.0,432.0
20,2458.0,2.0,81.0,62.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,21.0,16.0,0.0,9.0,10.0,0.0,448.0,367.0,0.0,917.0,512.0
23,1410.0,0.0,56.0,30.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,13.0,2.0,0.0,3.0,3.0,0.0,133.0,100.0,0.0,761.0,300.0
24,2536.0,0.0,91.0,55.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,5.0,7.0,0.0,207.0,153.0,0.0,1344.0,613.0
25,1660.0,0.0,27.0,33.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,762.0,713.0,0.0,55.0,57.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,43555.0,15.0,1168.0,972.0,0.0,144.0,81.0,0.0,15.0,19.0,0.0,300.0,202.0,0.0,95.0,83.0,1.0,12210.0,10427.0,2.0,11538.0,6283.0
