PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
200A,59.03,100,34.62,27.4,0,25,100,0,0,0,0,25,33.33,0,33.33,28.57,0,66.56,64.89,0,54.03,38.37
200B,48.69,0,18.75,25.93,0,20,50,0,0,0,0,0,50,0,66.67,50,0,47.08,46.88,0,54.86,50.29
300,67.11,0,50,29.27,0,42.86,33.33,0,0,25,0,57.89,40,0,46.67,76.92,0,69.75,73.08,0,58.06,43.29
304,59.92,0,48.28,35.29,0,100,0,0,0,50,0,53.85,50,0,50,0,0,65.13,63.57,0,47.62,27.27
400,69.39,100,50.79,38.81,0,62.5,25,0,0,100,0,100,77.78,0,25,58.33,66.67,72.29,71.53,0,57.84,45.21
404,74.25,0,50,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0,73.91,76.62,0,75,50.00
405,71.72,0,25,42.86,0,0,0,0,0,0,0,0,0,0,100,0,0,72.96,73.86,0,50,40.00
406,68.97,100,40,30,0,50,0,0,100,75,0,60,100,0,66.67,100,0,69.47,72.25,0,51.72,64.71
407,69.81,0,28.57,30.77,0,0,0,0,0,0,0,50,0,0,100,100,0,70.76,73.04,0,0,100.00
408,71.97,0,57.14,41.67,0,0,0,0,0,0,0,80,40,0,100,0,0,73.5,73.71,0,100,0
409,72.2,100,37.5,33.33,0,75,100,0,0,0,0,100,33.33,0,0,100,100,74.53,74.23,0,55.56,45.45
TOTAL,65.57,66.67,43.11,32.44,,43.59,44.0,0.0,25.0,58.33,,54.69,48.15,,43.4,58.54,42.86,69.35,70.18,0.0,55.08,43.15
