PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
2A,61.01,100,44.79,37.84,0,37.5,33.33,0,25,100,0,58.82,47.95,0,34.88,42.5,100,67.9,65.96,0,46.81,41.03
3A,65.63,0,44.58,39.19,0,63.64,45.45,0,100,0,0,50.93,39.09,0,41.67,14.29,50,75.62,70.03,0,31.82,50.00
4A,68.35,0,63.28,44.35,0,53.85,66.67,0,100,0,50,61.97,53.69,0,44,43.33,200,75.39,70.71,0,56.25,42.86
5A,49.66,0,44.76,37.5,0,11.11,16.67,0,0,0,100,60.77,47.51,0,75,42.86,0,48.54,45.5,0,60.71,42.59
6A,49.96,0,47,39.58,0,42.86,42.86,0,0,0,0,57.02,47.75,0,0,100,0,47.37,52.58,0,59.03,41.86
88888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,52.45,0,46.15,34.9,0,46.15,100,0,0,100,0,60.89,48.26,0,100,0,0,54.19,57.21,0,59.68,33.93
BLCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,59.14,0,45.57,47.67,0,20,0,0,0,0,0,63.27,44.68,0,0,0,100,61.59,61.87,0,40,30.00
CO,62.36,0,41.94,39.39,0,33.33,50,0,0,0,0,36.36,43.75,0,50,100,0,66.32,64.83,0,70,50.00
DG,66.15,0,55.83,42.95,0,60,60,0,0,0,0,60.51,49.46,0,61.54,52.94,100,71.17,70.14,0,65.62,48.28
ES,56.04,50,37.21,44.33,0,44.44,57.14,0,0,0,100,57.35,44.36,0,0,0,0,60.58,58.78,0,64.71,64.86
FI,61.54,0,57.14,45.05,0,37.5,37.5,0,0,0,0,59.63,44.26,0,75,66.67,0,65.19,62.87,0,75.41,62.50
GL,61.11,0,50.41,45.67,0,42.86,50,0,0,100,0,62.61,45.04,0,66.67,25,0,66.84,67.38,0,47.37,46.43
LT,71.06,0,54.84,50,0,66.67,100,0,0,100,0,71.43,46.67,0,100,0,0,73.17,73.82,0,50,0
MC,63.84,0,59.76,51.28,0,0,80,0,0,0,0,36.36,33.33,0,28.57,66.67,0,68.24,63.79,0,75,37.50
NI,64.12,0,50,46.67,0,0,0,0,0,0,0,52.86,44.93,0,50,0,0,67.17,68.14,0,61.11,52.38
PG,64.3,100,51.87,41.41,100,42.11,41.67,0,100,33.33,50,55.06,53.62,0,72.22,69.23,100,69.49,69.04,0,47.95,44.64
TH,63.32,0,48.15,39.73,0,33.33,28.57,0,33.33,100,0,59.7,45.76,0,81.82,60,66.67,66.45,65.31,0,69.23,54.76
TI,60.34,0,64.86,31.11,0,0,100,0,100,0,0,64.29,40.62,0,0,0,0,62.16,64.56,0,66.67,0
TR,73.33,0,75.51,72.58,0,33.33,33.33,0,0,0,0,71.43,62.5,0,0,50,0,73.39,74.32,0,80,57.14
UT,64.65,100,42.11,37.29,0,100,0,0,0,0,0,75,66.67,0,0,0,0,68.11,66.92,0,0,0
VA,66.99,100,55.87,47.22,0,38.1,54.55,0,0,50,0,63.19,48.09,0,29.17,38.1,33.33,69.54,70.82,0,71.05,54.24
TOTAL,62.97,41.67,51.49,43.41,100.0,44.5,48.72,,61.54,50.0,57.14,59.09,47.55,,47.09,46.86,70.0,67.81,67.03,,58.72,47.54
