COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
CARROLL,9.09,24.14,22.99,0.0,23.25,19.11,0.0,10.53,27.27,0.0,19.46,18.94,0.0,14.37,9.49,36.36,39.2,41.01,20.0,23.03,17.38,34.72
COWETA,3.33,25.99,26.66,50.0,26.32,21.78,0.0,14.29,8.33,0.0,23.4,18.39,0.0,16.79,11.99,35.0,39.72,40.28,30.77,28.48,21.72,35.88
FAYETTE,35.0,32.64,29.53,0.0,28.97,28.14,0.0,14.29,16.67,0.0,24.18,27.09,66.67,19.47,14.52,33.33,45.41,44.68,16.67,39.82,33.02,41.21
HARRIS,100.0,30.22,27.6,0.0,16.88,23.94,0.0,0.0,50.0,0.0,22.84,29.63,0.0,17.05,23.4,50.0,39.45,40.73,0.0,37.6,26.28,37.89
HEARD,0.0,24.21,21.09,0.0,11.11,18.18,0.0,20.0,33.33,0.0,15.79,31.58,0.0,60.0,0.0,100.0,35.08,38.7,0.0,30.67,22.12,35.07
HENRY,0.0,25.78,18.84,0.0,18.18,13.95,0.0,33.33,0.0,0.0,15.81,16.02,0.0,10.64,11.42,33.33,37.77,38.06,25.0,28.51,22.27,30.39
LAMAR,100.0,22.32,19.53,0.0,14.81,24.0,0.0,100.0,0.0,0.0,20.0,10.53,0.0,12.5,7.69,0.0,40.48,42.0,0.0,33.13,24.82,36.78
MERIWETHER,0.0,25.41,14.82,0.0,33.33,18.75,0.0,0.0,0.0,0.0,16.67,3.85,0.0,27.27,15.38,0.0,38.61,40.26,0.0,30.26,21.32,33.27
MONROE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSCOGEE,33.33,21.52,18.79,0.0,17.13,20.12,0.0,0.0,25.0,0.0,17.79,20.48,0.0,13.62,14.67,12.5,35.76,37.75,0.0,25.85,20.16,32.53
PIKE,100.0,31.41,30.73,0.0,18.52,50.0,0.0,0.0,20.0,0.0,39.13,20.83,0.0,25.0,22.22,0.0,45.37,45.89,0.0,32.95,26.18,42.96
SPALDING,20.0,19.84,17.81,0.0,19.12,15.38,0.0,0.0,37.5,0.0,22.09,22.16,0.0,19.55,13.89,80.0,41.16,42.09,0.0,26.76,17.87,34.32
TROUP,20.0,23.14,20.4,40.0,16.03,11.34,0.0,20.0,12.5,0.0,15.33,21.77,0.0,13.27,12.7,25.0,39.0,39.86,0.0,28.34,18.38,33.29
TOTAL,16.67,26.61,23.95,23.08,21.95,19.98,0.0,11.7,20.51,0.0,20.82,20.48,40.0,16.35,13.11,35.35,40.13,41.07,19.51,29.23,21.95,35.55
