PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ADAIRSVILLE,33.20,31.17,0.00,32.11
ALLATOONA,30.90,29.91,100.0,30.41
CARTERSVILLE EAST,32.09,32.89,0.00,32.52
CARTERSVILLE WEST,38.47,39.04,33.33,38.78
BEAVERS DRIVE,39.17,38.95,0.00,39.06
CENTER,39.78,40.24,0.00,39.98
EMERSON,37.81,39.04,0.00,38.44
EUHARLEE,36.78,35.39,0.00,36.06
FOLSOM,39.35,40.27,0.00,39.82
KINGSTON,39.59,38.52,0.00,39.02
MISSION ROAD,38.52,36.74,0.00,37.57
PINE LOG,43.19,42.84,0.00,42.99
TAYLORSVILLE,42.73,38.91,100.0,40.76
WHITE,42.79,41.23,0.00,42.02
ZENA DRIVE,25.87,26.05,66.67,26.00
CASSVILLE,30.89,31.41,0.00,31.16
WOODLAND,38.55,33.42,0.00,35.80
99999,0.00,0.00,0.00,0.00
TOTAL,35.85,35.10,26.32,35.45
