AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,33.33,0.880,0.00,0.00,12.50,18.58,7.790,13.35
25-29,0.00,4.640,0.00,0.00,20.00,16.71,11.94,13.05
30-34,0.00,7.920,0.00,0.00,0.00,17.02,9.800,13.99
35-39,0.00,8.000,0.00,0.00,0.00,17.72,15.09,14.84
40-44,100.0,12.15,0.00,0.00,50.00,23.76,16.36,20.27
45-49,20.00,15.52,0.00,0.00,33.33,29.30,12.77,24.73
50-54,0.00,15.00,0.00,0.00,0.00,33.88,28.12,29.38
55-59,100.0,22.93,0.00,0.00,50.00,37.87,37.93,34.29
60-64,0.00,33.93,0.00,0.00,0.00,42.03,28.57,38.76
65-OVER,50.00,37.05,0.00,0.00,0.00,45.86,39.29,43.84
TOTAL,28.57,17.67,0.00,0.00,24.00,31.73,21.15,27.50
