PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
AIR ACRES,0.00,90.00,120.0,0.00,17.00,16.00,0.00,0.00,0.00,0.00,47.00,43.00,0.00,21.00,14.00,0.00,1106.0,976.0,0.00,56.00,50.00,2556.0
ARNOLD MILL,0.00,150.0,140.0,0.00,19.00,23.00,0.00,0.00,0.00,0.00,48.00,35.00,0.00,19.00,11.00,0.00,1757.0,1667.0,0.00,43.00,46.00,3958.0
AVERY,0.00,85.00,115.0,0.00,9.00,6.00,0.00,1.00,1.00,0.00,12.00,15.00,0.00,7.00,6.00,0.00,1215.0,1151.0,0.00,9.00,10.00,2642.0
BALL GROUND,0.00,81.00,100.0,0.00,5.00,3.00,0.00,1.00,0.00,0.00,5.00,10.00,0.00,2.00,1.00,0.00,1431.0,1260.0,0.00,15.00,16.00,2930.0
BASCOMB,0.00,130.0,140.0,0.00,21.00,18.00,0.00,1.00,0.00,0.00,50.00,32.00,0.00,25.00,11.00,0.00,1730.0,1551.0,0.00,87.00,72.00,3868.0
BELLS,2.00,217.0,215.0,0.00,31.00,41.00,0.00,1.00,3.00,0.00,113.0,81.00,0.00,48.00,46.00,1.00,1561.0,1450.0,0.00,297.0,235.0,4342.0
BOOTH,2.00,155.0,145.0,0.00,19.00,30.00,0.00,1.00,1.00,0.00,47.00,29.00,0.00,32.00,31.00,0.00,1624.0,1538.0,0.00,121.0,95.00,3870.0
BRADSHAW,0.00,133.0,149.0,1.00,11.00,10.00,0.00,3.00,0.00,0.00,28.00,42.00,0.00,29.00,9.00,1.00,1707.0,1583.0,0.00,73.00,69.00,3848.0
BRIDGEMILL,3.00,171.0,198.0,0.00,26.00,14.00,0.00,1.00,0.00,0.00,51.00,44.00,0.00,22.00,17.00,2.00,2097.0,1885.0,0.00,74.00,77.00,4682.0
CANTON,0.00,250.0,223.0,0.00,26.00,25.00,0.00,0.00,5.00,0.00,102.0,88.00,0.00,13.00,9.00,0.00,2234.0,1878.0,0.00,274.0,194.0,5321.0
CARMEL,1.00,189.0,208.0,0.00,32.00,22.00,0.00,0.00,0.00,0.00,81.00,70.00,0.00,24.00,19.00,1.00,1354.0,1164.0,0.00,326.0,201.0,3692.0
WOODSTOCK,1.00,242.0,239.0,0.00,36.00,32.00,0.00,4.00,1.00,0.00,103.0,77.00,0.00,45.00,31.00,0.00,1990.0,1587.0,0.00,364.0,230.0,4982.0
CLAYTON,0.00,92.00,89.00,0.00,8.00,6.00,0.00,1.00,0.00,0.00,20.00,24.00,0.00,2.00,3.00,0.00,1292.0,1179.0,0.00,47.00,34.00,2797.0
CONNS CREEK,0.00,14.00,32.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,3.00,0.00,0.00,309.0,295.0,0.00,2.00,2.00,670.0
DEER RUN,0.00,122.0,122.0,0.00,16.00,19.00,0.00,4.00,0.00,0.00,32.00,21.00,0.00,26.00,20.00,0.00,1171.0,1035.0,0.00,107.0,88.00,2783.0
