AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,6.0,1114.0,1293.0,0.0,150.0,113.0,0.0,10.0,9.0,0.0,349.0,335.0,0.0,88.0,67.0,10.0,5145.0,4837.0,0.0,411.0,411.0,14348.0
25-29,2.0,624.0,692.0,0.0,93.0,73.0,0.0,7.0,5.0,0.0,251.0,198.0,0.0,74.0,45.0,0.0,5032.0,4563.0,0.0,411.0,345.0,12415.0
30-34,1.0,642.0,622.0,0.0,74.0,62.0,0.0,7.0,3.0,0.0,232.0,147.0,0.0,88.0,64.0,2.0,5056.0,4531.0,0.0,418.0,310.0,12259.0
35-39,3.0,583.0,598.0,0.0,85.0,71.0,0.0,6.0,3.0,0.0,301.0,195.0,0.0,92.0,75.0,0.0,5784.0,4928.0,0.0,569.0,384.0,13677.0
40-44,0.0,514.0,590.0,0.0,72.0,64.0,0.0,6.0,4.0,0.0,288.0,217.0,0.0,137.0,87.0,0.0,6549.0,5938.0,0.0,655.0,455.0,15576.0
45-49,2.0,525.0,597.0,0.0,79.0,68.0,0.0,4.0,8.0,0.0,236.0,252.0,0.0,117.0,101.0,0.0,7177.0,6672.0,1.0,578.0,441.0,16858.0
50-54,1.0,434.0,502.0,1.0,65.0,80.0,0.0,4.0,2.0,0.0,186.0,200.0,0.0,68.0,40.0,0.0,7026.0,6510.0,0.0,519.0,406.0,16044.0
55-59,1.0,379.0,438.0,1.0,46.0,45.0,0.0,1.0,5.0,0.0,130.0,131.0,0.0,62.0,60.0,1.0,6435.0,5865.0,0.0,338.0,312.0,14250.0
60-64,0.0,358.0,310.0,0.0,41.0,49.0,0.0,0.0,3.0,0.0,86.0,96.0,0.0,49.0,41.0,0.0,5575.0,4814.0,0.0,250.0,195.0,11867.0
65-OVER,4.0,971.0,819.0,0.0,84.0,97.0,0.0,2.0,4.0,0.0,183.0,113.0,0.0,94.0,70.0,3.0,13012.0,11200.0,0.0,401.0,281.0,27338.0
TOTAL,20.0,6144.0,6461.0,2.0,789.0,722.0,0.0,47.0,46.0,0.0,2242.0,1884.0,0.0,869.0,650.0,16.0,66791.0,59858.0,1.0,4550.0,3540.0,154632.0
